,Meaning,Spanish,Portuguese,Notes
0,alibi,coartada < Lat. coarctare,álibi < Lat. alibi,
1,"store, shop",tienda < Late Lat. tendam (< tendere),loja < Fr. loge < Frankish laubja,
2,knee,rodilla < Lat. rotellam ('little wheel'),joelho < Lat. genuculum,The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
3,home,hogar < Lat. efocus,Lar < Lat. Lar,
4,street,calle < Lat. callem,rua < Lat. [viam] rūgam,
5,(legal) prosecutor,fiscal < Lat. fiscalis,procurador < Lat. procurator,
6,"highway, road",carretera < carreta + ‑era < carro < Lat. carrus < Gaulish carros,estrada < Lat. strata,
7,retailer,minorista < Lat. minor + ista,retalhista < Late Lat. taliare + ista,Brazilian Port. uses varejista
8,sales,rebajas < Lat. prefix 're' + bassus,"saldos, liquidação < Ita. saldo < soldo, Lat. liquidus",
9,grocer,abarrotero Uncertain < Lat. or < Pre-Roman barra,merceeiro < Lat. merx + suffix eiro,
10,organic food,comida orgánica < Lat. + Greek comeder+organĭcum < órganon,"alimentação biológica, Bio < Lat. + Greek alere + βίος+λογία",Brazilian Port. tends to use orgânica.
11,leather,piel < Lat. pellis,"couro, coiro < Lat. cŏrĭum","Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur', but it can also mean 'leather'."
12,"fight, brawl",pelea < Lat. pilus,briga < Ita. or Occitan briga,
13,"riff-raff, mob",chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha,"Brazilian Port. tends to use ralé, gentalha"
14,police station,comisaría (de policía) < Lat. + Gr. comissarius + politia < πολιτεία,"esquadra, posto de polícia < Lat. + Gr. ex-quadrata, positus + politia < πολιτεία",Brazilian Port. tends to use delegacia (de polícia)
15,"litter, rubbish",basura < Lat. versūra,lixo < Lat. līx < līcis,
16,hole,agujero < Lat. + suffix acucŭla + ero,"buraco < Proto-Germanic burō, burōną[9]",
17,drill,taladro < Lat. taratrum,berbequim < Fr. vilebrequin < Dutch wimmelkijn,Brazilian Por. uses furadeira
18,demolition hammer,rompedor < Lat. rumpere + dor,martelo demolidor < Lat. martulus demolitio + dor,
19,sauce,salsa < Lat. salsus,molho < Lat. manuculus < manipulus,
20,plane,cepilladora < Lat. cippus + dora,plaina < Lat. planea,
21,"camshaft, camshaft tree",árbol de levas < Lat. arbōs + levare,árvore de cames < Lat. + Germanic arbōs + kamm,
22,gills,branquias < Lat. < Gr. branchĭa < βραγχια,guelras < Proto-Germanic gelunaz,"In zoology, Port. also uses brânquias (branchiae)."
23,goose,oca < Lat. auca,ganso < Gothic/Suebian gans,Spanish also has ganso.
24,chicken,pollo < Lat. pullus,"frango < Probably Fr. francolin < Ita. francolino, all of uncertain origin",
25,lamp,lámpara < Lat. lampăda,'candeeiro < Lat. candelae,"Portuguese lâmpada usually means 'light bulb' (except in certain idioms, like lâmpada de Aladino, i.e., 'Aladdin's lamp')"
26,meal,comida < Lat. comedere,"refeição, repasto (arch.) < Lat. refectionis, re+pastus",Portuguese 'comida' means food
27,owl,búho < Lat. bubo,coruja (*maybe from Lat. cunicularis) of uncertain origin,
28,kennel,"perrera < uncertain origin, perhaps Pre-Roman. perro + era",canil < Lat. canis + il,
29,cattery,criadero < Lat. creāre + era,gatil < Proto-Ger. kattuz + il,
30,ground,suelo < Lat. solum,chão < Lat. planus,Port. also has solo.
31,office,despacho < Lat. dispactus,"gabinete, escritório < Occitan, Lat. cabana, scriptōrium",
32,ground floor,planta baja < Lat. planta + bassus,"rés-do-chão, rés-de-chão< Lat. rāsus + planus",Brazilian Port. tends to use térreo
33,buoy,flotador < Fr. + Sp. suffix flotter + dor,boia < Old Fr. bouée < Frankish baukan,
34,"nappy, diaper (baby)",pañal < Lat. pannus,fralda < Gothic falthan/faldan,
35,performance,representación < Lat. representatio,performance < Eng 'performance' < Anglo-French performer < parfornir,
36,preemptive,preventivo < Lat. praeventus,preemptivo < Eng 'preemptive' < Lat praeemptio,
37,report,informe < Lat. informis,relatório < Lat. relatus + ório suffix < refferre,
38,highlight,realce < Lat. + prefix re + altiare,destaque < Germanic stak,
39,prison,cárcel < Lat. carcer,prisão< Lat. prehensionis,Span. also has prisión and Port. archaic cárcere.
40,squirrel,ardilla < Pre-Roman harda or probably Berber aġárda,esquilo Lat. scūrĭōlus < Gr. σκίουρος,
41,"garret, mansard","zaquizamí,[10] buhardilla < Hisp-Ar. سقف في السماء (saqf fassamā), < Lat. bufus < buharda","água-furtada, mansarda < Lat. aquam + furtus, < Fr. mansarde < François Mansart (architect)",
42,watercress,berro < Celtic bẹrŭro,agrião < Gr. άγριος,
43,mint,menta < Lat. mentha < Gr. μίνθη,hortelã < Lat. hortus,Port. also has menta.
44,sour cherry,cereza gordal < Lat. cerasium + gurdus,ginja < Frankish wīhsina,
45,stepchild,hijastro(a) < Lat. filiaster,enteado(a) < Lat. ante + natum,
46,step-brother,hermanastro(a) < Lat. + suffix germanus + astro,meio-irmã(o) < Lat. medius + germānus,
47,"stump, amputated limb",muñón < Pre-Roman/Basque muno,coto < Celtic-Goidelic cotach < cuid,
48,baby changing (area),cambiador (infantil) < Lat + dor cambium,fraldário < Gothic + arius faldan,
49,blade,hoja < Lat. folium,lâmina < Lat. lammĭna,
50,butcher(s)(shop),carniceria < Lat. carniceus,talho < Lat. taleare,Brazilian Port. uses açougue
51,shoe polish,betún < Lat. bitūmen,graxa < Lat. crassus,
52,shaving,afeitar < Lat. affectāre,barbear < Lat. barba + ear,
53,pocket knife,navaja < Lat. novacŭla,canivete < Old Fr. canivet < Frankish 'knif'[11],Portuguese 'navalha' means razor.
54,diving,buceo < Port. búzio < Lat. bucĭna,mergulho < Lat. merguliāre,
55,bait,cebo < Lat. cibus,isca < Lat. escae,
56,skirt,falda < Germanic faldan,"saia < Lat. sagum < Celtic sagos, sag",
57,glasses,"gafas < Uncertain, maybe Arabic qafca[12]",óculos < Lat. oculus,
58,stiffness (muscular),agujetas < Lat. acus + suffix eta,dor muscular < Lat. dolor + mus +culus,
59,operating theatre,quirófano < Gr. χείρ + φαίνω,"sala de operações, sala de cirurgia, bloco operatório < Ger + Lat. sal + operatio, < Ger + Gr. sal + χειρουργική, < Ger + Lat. bluk(k)an + operatio",
60,stem cell research,investigación con células madre < Lat. vestigium + cum + cellula + mater,pesquisa de células estaminais < Lat. perquirere + de + cellula + staminis,Brazilian Por. uses pesquisa de células tronco
61,"stream, creek",arroyuelo < Pre-Roman arrugia,"ribeira, ribeiro < Lat. riparius < ripae",
62,stubborn,terco or testarudo < Lat. testa + rudis,"teimoso < Lat. thema, < Gr. théma",
63,plateau,meseta < Lat. mensa + Sp. suffix eta,planalto < Lat. planus + altus,
64,wave,ola < Uncertain origin,"vaga < Gothic vega[13] or < Old Norse vágr,[14] both from Ancient Germanic 'vigan' to shake",Both in Brazilian Por. and European Por. onda is used
