,Name,Developer(s),Operating system(s),License,Price,WWW,Notes
0,Panoweaver Standard / Professional,Easypano Holdings Inc.,Windows XP/7/8; Mac OS X 10.4 or later,Proprietary,Standard: $99 / Professional: $299,easypano.com,"Branding free, trial version works will be watermarked."
1,WidsMob Panorama,WidsMob Technology Ltd.,Mac OS X 10.8 or later,Proprietary,$19.99,widsmob.com,"Branding free, trial version works will be watermarked."
2,i2Align Quickage Express / Pro,DualAlign LLC,Windows XP or Vista; Mac OS X 10.2 or higher,Proprietary,Express: $50 / Pro: $100,i2Align.com,Express is limited to four images per panorama
3,Pixtra OmniStitcher,Pixtra Corp.,Windows 95 or later,Proprietary,$49,Pixtra.com,Designed for 360x180 degree omniramas.
4,Pixtra PanoStitcher,Pixtra Corp.,Windows 95 or later,Proprietary,$30,Pixtra.com,Includes virtual tool authoring package.
5,QuickPHOTO,PROMICRA,Windows 7 or later,Proprietary,,promicra.com,Stitching together fields of view from microscope.
6,Dermandar,Dermandar,"Browser based (Adobe Flash player required), Apple iOS4",Proprietary,Free,Dermandar.com,Panoramas are uploaded on the Dermandar server and they can be viewed with the provided Flash viewer.
7,PhotoFit Harmony / Premium,"Tekmate, Inc.",Windows 98 or later,Proprietary,Harmony: $52 / Premium: $277,PhotoFit4Panorama.com,Premium has bigger output size limits (12 vs. 1200 Mpix) and more output projections.
8,PanoramaPlus X4,Serif (Europe) Ltd.,Windows XP or later,Proprietary,£20,Serif.com,Video input.
9,PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,"3cim, Inc.",Windows ??,Proprietary,$199 / Pro: $499 + annual $199,PanoBuilder.com,Price incl. hosting for virtual tours.
10,Pixloo VT Builder,Pixloo,Windows and Mac,Proprietary,$9 Month,Pixloo,Unlimited hosting of virtual tours.
11,360 Panorama Professional,360 Degrees of Freedom,Windows only,Proprietary,$99,360dof.com,Includes virtual tool authoring package.
12,VRstitcher Fisheye Pro,360 Degrees of Freedom,Windows only,Proprietary,$499,360dof.com,Includes virtual tool authoring package. specifically designed for fisheye lenses.
13,COOL 360,Ulead / Corel Corp.,"Windows, up to XP only",Proprietary,$40,Corel.com,Support discontinued.
14,The Panorama Factory v5,"Smoky City Design, LLC",Windows 98 or later; Mac OS X 10.3.9 or later,Proprietary,$80,panoramafactory.com,
15,PixMaker Lite / Home / Business,?,Windows 95 or later,Proprietary,Lite: Free / Home: $20 / Business: $349,Singnet.com,
16,PTAssembler,Max Lyons,Windows only,Proprietary,$49 / $299,Tawbaware.com,Based on Panorama Tools
17,PTgui / PTgui Pro,New House Internet Services BV,Windows; Mac OS X,Proprietary,€79 (personal) / €180 (company); Pro: €149 (personal / €349 (company) (+taxes),ptgui.com,Based on Panorama Tools.
