,Names,"Underlying theory(symbolic, connectionist, or hybrid)",Achievements,Estimated requirements,Non-laboratory usages,Activity status(active or dead + RSS news),Year of creation,Related publications,"License(if applies, for example GPL)",Unnamed: 9
0,4CAPS,?,?,?,?,?,?,?,,
1,ACT-R,hybrid [1],?,?,?,active,?,"Anderson, 2007",,
2,ASMO,hybrid,Many robotic systems,?,IBM internet-of-things system,active,2009,"Novianto, Johnston and Williams 2010",,
3,CHREST,symbolic,?,?,?,active,1992 [2],?,,
4,CLARION,hybrid [1],?,?,?,active,?,"Sun, 2002",,
5,Copycat,?,?,?,?,?,?,?,,
6,Deeplearning4j,hybrid,"online learning, anomaly detection, image recognition",?,?,active,Josh Patterson & Adam Gibson (2017),Apache 2.0,,
7,DUAL,hybrid,?,?,?,?,?,?,,
8,EPAM,?,?,?,?,?,1959 [2],?,,
9,EPIC,?,?,?,?,?,?,?,,
10,GLAIR,symbolic,?,?,?,active,?,"Bona and Shapiro, 2009",?,
11,Hierarchical Temporal Memory,connectionist,"online learning, anomaly detection",?,anomaly detection,active,2009,Hawkins et al (multiple),AGPL,
12,LIDA,symbolic,?,?,?,?,?,?,,
13,MAMID,?,?,?,?,?,?,"Hudlicka, 2002; 2003",?,
14,Mibe architecture,?,?,?,?,?,1998,?,,
15,OpenCog,hybrid,"chatbot, game avatar",?,"misc subsystems in commercial, financial, medical",active,2001,Goertzel et al (multiple),AGPL,
16,Parallel terraced scan,?,?,?,?,?,?,?,,
17,Procedural Reasoning System,?,?,?,?,?,?,?,,
18,R-CAST,?,?,?,?,?,?,?,,
19,Soar,symbolic [1],?,?,yes,active,1983,Laird (2012),,
20,Sigma,Hybrid,Ray Kurzweil Awards at AGI 2011 and 2012,?,not yet,active,2009,"Rosenbloom, Demski, Ustun (2016)",BSD 2 clause,
21,SOSIEL,Symbolic,,.Net Core,policy analysis,active,2018,Sotnik (2018),open source,
22,TinyCog,symbolic,?,?,?,active,2015,"Bergmann and Fenton, 2015",GPL V3,
