,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,No execute (NX)page flag,No execute (NX)page flag.1,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1],Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].1,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].2,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].3,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].4,Manufacturer acknowledged unpatched vulnerabilities (by severity)[s 1].5
0,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,No execute (NX)page flag,No execute (NX)page flag,Secunia,Secunia,Secunia,Secunia,Secunia,Security-Focus
1,Name,Resourceaccesscontrol,Subsystemisolationmechanisms,Integratedfirewall,Encryptedfilesystems,Hard-ware,Emula-tion,Extremely critical(number / oldest),Highly critical(number / oldest),Moderately critical(number / oldest),Lesscritical (number / oldest),Notcritical(number / oldest),Total(number / oldest)
2,AIX 7.1,"POSIX, ACLs, MAC, Trusted AIX - MLS, RBAC",chroot,"IPFilter, IPsec VPNs, basic IDS",Yes,Yes[s 2],,Unknown,Unknown,Unknown,Unknown,Unknown,0
3,FreeBSD 10.1,"POSIX, ACLs, MAC","chroot, Jails, MAC partitions, multilevel security, Biba Model, BSD file flags set using chflags, Capsicum Capability-based security","IPFW2, IPFilter, PF, IPsec",Yes,Yes,Yes[s 3],0,0,0,0,0,>0
4,GhostBSD 3.1,"POSIX, ACLs, MAC","chroot, jail, MAC partitions, BSD file flags set using chflags","IPFW2, IPFilter, PF",Yes,Yes,Yes,0,0,0,0,0,>0
5,Genode,"Hierarchal,[33] least privilege",capability-based security,Virtual switch and NAPT controls in user-space,No,kernel dependent,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,HP-UX 11.31,"POSIX, ACLs",chroot,IPFilter,Yes,?,?,0,0,"3June 30, 2004;15 years ago","2December 12, 2002;16 years ago",0,>0
7,Inferno,POSIX,"Namespaces,[34] capability-based security, no superuser or setuid bit",?,?,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,>0
8,Linux-based 2.6.39,"POSIX, ACLs,[s 4] MAC","chroot,[s 5] seccomp, Namespaces, SELinux, AppArmor","Netfilter, varied by distribution",Yes,Yes,Yes,0,0,0,"6June 24, 2004;15 years ago","11April 4, 2005;14 years ago",>0
9,Mac OS 9.2.2,No,No,No,No,No,No,0,0,0,0,0,>0
10,OS X 10.10.5,"POSIX, ACLs[s 6]","chroot, BSD file flags set using chflags",ipfw,Yes,"Yes (as of 10.5, X64 only)",Yes (Intel only),0,0,"1April 14, 2009;10 years ago","2January 8, 2007;12 years ago","5November 22, 2006;13 years ago",>0
11,NetBSD 6.1.2,"POSIX, Veriexec, PaX, kauth","chroot, kauth, BSD file flags set using chflags","IPFilter, NPF, PF",Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,>0
12,NetWare 6.5 SP8,Directory-enabled ACLs,Protected address spaces,IPFLT.NLM,Yes,Yes,No,0,0,"1August 31, 2010;9 years ago","2October 30, 2003;16 years ago",0,0
13,OES-Linux,Directory-enabled ACLs,chroot,IPFilter,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,>0
14,OpenBSD 4.8,POSIX,"chroot, systrace, BSD file flags set using chflags",PF,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,>0
15,OpenVMS 8.4,"ACLs, privileges",logical name tables,?,?,Yes,?,0,0,0,0,0,Unknown
16,"OS/2, eComStation",ACLs[s 7],No,IPFilter,No,?,?,0,0,0,0,0,0
17,TrueOS 8.1,"POSIX, ACLs, MAC","chroot, jail, MAC partitions","IPFW2, IPFilter, PF",Yes[s 8],?,?,0,0,0,0,0,>0
18,Plan 9,POSIX ?,"Namespaces,[34] capability-based security, no superuser or setuid bit",ipmux,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,>0
19,QNX 6.5.0,POSIX,?,"PF, from NetBSD",?,?,?,0,0,0,"5November 20, 2002;17 years ago","1November 7, 2002;17 years ago",Unknown
20,RISC OS,No,No,IPFilter,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
