,Aspect,Esperanto,Interlingua
0,Type,schematic;designed to be easy to learn,naturalistic;designed to be easy to understand to as many people as possible
1,Alphabet,"uses diacritics(ĉ, ĝ, ĥ, ĵ, ŝ, ŭ)",does not use diacritics
2,Orthography,invariable letter-to-phoneme correspondence,"letters c, h, g, q, t, and w are variable"
3,Vocabulary sources,mostly Romance and Germanic languages,"primary control languages:English, French, Italian, Spanish and Portuguese"
4,Gender,masculine by default;feminine optional,only for third-person pronouns
5,Antonyms,formed by mal- prefix,"dis- for verbs and words derived from verbs,in- for adjectives and words derived from adjectivesin addition, certain roots can be prefixed, e.g. mal"
6,Infinitive suffix,-i (invariable),"-ar, -er, or -ir"
7,Imperative,-u suffix,same as indicative
8,Plural noun,-oj(agglutinative),-s (after vowels)-es (after consonants)
9,Adjectives,agree with nouns,no declination
10,Accusativedeclination,"mandatory, -n",only for personal pronouns
11,No ofspeakers,"c. 100,000–2,000,000","c. 1,500"
