,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,Density functional theory quantum simulations of graphene,Labelled images of raw input to a simulation of graphene,Raw data (in HDF5 format) and output labels from density functional theory quantum simulation,60744 test and 501473 and training files,Labeled images,Regression,2019,[118],K. Mills & I. Tamblyn
1,Quantum simulations of an electron in a two dimensional potential well,Labelled images of raw input to a simulation of 2d Quantum mechanics,Raw data (in HDF5 format) and output labels from quantum simulation,1.3 million images,Labeled images,Regression,2017,[119],"K. Mills, M.A. Spanner, & I. Tamblyn"
2,MPII Cooking Activities Dataset,Videos and images of various cooking activities.,"Activity paths and directions, labels, fine-grained motion labeling, activity class, still image extraction and labeling.","881,755 frames","Labeled video, images, text",Classification,2012,[120][121],M. Rohrbach et al.
3,FAMOS Dataset,"5,000 unique microstructures, all samples have been acquired 3 times with two different cameras.","Original PNG files, sorted per camera and then per acquisition. MATLAB datafiles with one 16384 times 5000 matrix per camera per acquisition.",30000,Images and .mat files,Authentication,2012,[122],"S. Voloshynovskiy, et al."
4,PharmaPack Dataset,"1,000 unique classes with 54 images per class.","Class labeling, many local descriptors, like SIFT and aKaZE, and local feature agreators, like Fisher Vector (FV).",54000,Images and .mat files,Fine-grain classification,2017,[123],"O. Taran and S. Rezaeifar, et al."
5,Stanford Dogs Dataset,Images of 120 breeds of dogs from around the world.,Train/test splits and ImageNet annotations provided.,20580,"Images, text",Fine-grain classification,2011,[124][125],A. Khosla et al.
6,The Oxford-IIIT Pet Dataset,37 categories of pets with roughly 200 images of each.,"Breed labeled, tight bounding box, foreground-background segmentation.","~ 7,400","Images, text","Classification, object detection",2012,[125][126],O. Parkhi et al.
7,Corel Image Features Data Set,Database of images with features extracted.,"Many features including color histogram, co-occurrence texture, and colormoments,",68040,Text,"Classification, object detection",1999,[127][128],M. Ortega-Bindenberger et al.
8,Online Video Characteristics and Transcoding Time Dataset.,Transcoding times for various different videos and video properties.,Video features given.,168286,Text,Regression,2015,[129],T. Deneke et al.
9,Microsoft Sequential Image Narrative Dataset (SIND),Dataset for sequential vision-to-language,"Descriptive caption and storytelling given for each photo, and photos are arranged in sequences",81743,"Images, text",Visual storytelling,2016,[130],Microsoft Research
10,Caltech-UCSD Birds-200-2011 Dataset,Large dataset of images of birds.,"Part locations for birds, bounding boxes, 312 binary attributes given",11788,"Images, text",Classification,2011,[131][132],C. Wah et al.
11,YouTube-8M,Large and diverse labeled video dataset,YouTube video IDs and associated labels from a diverse vocabulary of 4800 visual entities,8 million,"Video, text",Video classification,2016,[133][134],S. Abu-El-Haija et al.
12,YFCC100M,Large and diverse labeled image and video dataset,"Flickr Videos and Images and associated description, titles, tags, and other metadata (such as EXIF and geotags)",100 million,"Video, Image, Text",Video and Image classification,2016,[135][136],B. Thomee et al.
13,Discrete LIRIS-ACCEDE,Short videos annotated for valence and arousal.,Valence and arousal labels.,9800,Video,Video emotion elicitation detection,2015,[137],Y. Baveye et al.
14,Continuous LIRIS-ACCEDE,Long videos annotated for valence and arousal while also collecting Galvanic Skin Response.,Valence and arousal labels.,30,Video,Video emotion elicitation detection,2015,[138],Y. Baveye et al.
15,MediaEval LIRIS-ACCEDE,Extension of Discrete LIRIS-ACCEDE including annotations for violence levels of the films.,"Violence, valence and arousal labels.",10900,Video,Video emotion elicitation detection,2015,[139],Y. Baveye et al.
16,Leeds Sports Pose,Articulated human pose annotations in 2000 natural sports images from Flickr.,Rough crop around single person of interest with 14 joint labels,2000,Images plus .mat file labels,Human pose estimation,2010,[140],S. Johnson and M. Everingham
17,Leeds Sports Pose Extended Training,"Articulated human pose annotations in 10,000 natural sports images from Flickr.",14 joint labels via crowdsourcing,10000,Images plus .mat file labels,Human pose estimation,2011,[141],S. Johnson and M. Everingham
18,MCQ Dataset,"6 different real multiple choice-based exams (735 answer sheets and 33,540 answer boxes) to evaluate computer vision techniques and systems developed for multiple choice test assessment systems.",None,"735 answer sheets and 33,540 answer boxes",Images and .mat file labels,Development of multiple choice test assessment systems,2017,[142][143],"Afifi, M. et al."
19,Surveillance Videos,Real surveillance videos cover a large surveillance time (7 days with 24 hours each).,None,19 surveillance videos (7 days with 24 hours each).,Videos,Data compression,2016,[144],"Taj-Eddin, I. A. T. F. et al."
20,LILA BC,Labeled Information Library of Alexandria: Biology and Conservation. Labeled images that support machine learning research around ecology and environmental science.,None,~10M images,Images,Classification,2019,[145],LILA working group
21,Can We See Photosynthesis?,32 videos for eight live and eight dead leaves recorded under both DC and AC lighting conditions.,None,32 videos,Videos,Liveness detection of plants,2017,[146],"Taj-Eddin, I. A. T. F. et al."
