,English,Irish,Scottish Gaelic,Notes
0,Gael,Gael,Gàidheal,Pre 1950s Gaedheal in Irish
1,Scotland,"Alba, Albain",Alba,
2,Ireland,"Éire, Éirinn","Èirinn, Èire",
3,day,lá,"latha, là",
4,night,oíche,oidhche,Pre 1950s oidhche in Irish
5,inside,isteach,a-steach,
6,school,scoil,sgoil,Pre 1950s sgoil/scoil in Irish
7,child,páiste/leanbh,pàiste/leanabh,
8,without,gan,gun,
9,authority,údarás,ùghdarras,Pre 1950s ughdarás in Irish
10,office,oifig,oifis,
11,star,réalt(a),reul,"Pre 1950s réalt(a), reult(a) in Irish"
12,hotel,"óstán, teach/tigh ósta",taigh-òsda[7],"Pre 1950s óstán/ósdán, teach/tigh ósta/ósda in Irish"
13,house,"teach (nom-acc), tigh (dat); Munster tigh",taigh,In biblical Gaelic tigh
14,town,baile,baile,
15,news,nuacht; Ulster nuaidheacht,naidheachd,
16,open,oscail,fosgail,Also foscail in Ulster Irish
17,year,bliain,bliadhna,Pre-1950s bliadhain in Irish. The form bliadhna (bliana today) is used as a special plural form following numerals; the regular plural is blianta). Some eastern Scottish Gaelic dialects use the form bliadhn[8].
18,radio,raidió,radio,Also réidió and rèidio in spoken Irish and Scottish Gaelic
19,report,aithris,aithris,
20,king,rí,rìgh,Pre-1950s genitive ríogh and dative rígh in Irish
21,government,rialtas,riaghaltas,Pre-1950s riaghaltas in Irish
22,parliament,parlaimint,pàrlamaid,
23,island,"oileán, inis","eilean, inis",
24,river,"abhainn,Munster abha, dative abhainn",abhainn,
25,bridge,droichead,drochaid,
26,water,uisce,uisge,
27,whisk(e)y,uisce beatha,uisge-beatha,
28,God,Dia,Dia,
29,church,eaglais,eaglais,"In Irish, eaglais is a Roman Catholic house of worship; a Protestant house of worship is called a teampall (temple). As Gaeilge 'séipéal' is also used as it can mean chapel as well."
30,prayer,urnaí,ùrnaigh,Also urnaighe in Irish.
31,black,dubh,dubh,
32,white,bán,bàn,
