,Language,Intended use,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Event-driven,Other paradigm(s),Standardized?
0,1C:Enterprise,"Application, RAD, business, general, web, mobile",Yes,,Yes,Yes,Yes,Yes,Yes,"Object-based, Prototype-based programming",No
1,ActionScript 3.0,"Application, client-side, web",Yes,Yes,Yes,,,,Yes,,"1996, ECMA"
2,Ada,"Application, embedded, realtime, system",Yes,Yes[2],,Yes[3],Yes[4],,,"concurrent,[5] distributed,[6]","1983, 2005, 2012, ANSI, ISO, GOST 27831-88[7]"
3,Aldor,"Highly domain-specific, symbolic computing",Yes,Yes,Yes,,,,,,No
4,ALGOL 58,Application,Yes,,,,,,,,No
5,ALGOL 60,Application,Yes,,,,,,,,"1960, IFIP WG 2.1, ISO[8]"
6,ALGOL 68,Application,Yes,,,,,,,concurrent,"1968, IFIP WG 2.1, GOST 27974-88,[9]"
7,Ateji PX,Parallel application,,Yes,,,,,,pi calculus,No
8,APL,"Application, data processing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,"array-oriented, tacit","1989, ISO"
9,Assembly language,General,Yes,,,,,,,"any, syntax is usually highly specific, related to the target processor",IEEE 694-1985[10]
10,AutoHotkey,"GUI automation (macros), highly domain-specific",Yes,Yes[11],,Yes,,,Yes,,No
11,AutoIt,"GUI automation (macros), highly domain-specific",Yes,,,Yes,,,Yes,,No
12,Ballerina,"Integration, agile, server-side, general",Yes,Yes,Yes,Yes,,,Yes,"concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming",2018 De facto standard via Ballerina Language Specification[12]
13,Bash,"Shell, scripting",Yes,,,Yes,,,,,"No, but optionally POSIX.2 [13]"
14,BASIC,"Application, education",Yes,,,Yes,,,,,"1983, ANSI, ISO, ECMA"
15,BeanShell,"Application, scripting",Yes,Yes,Yes,,,Yes,,,"In progress, JCP[14]"
16,BLISS,System,,,,Yes,,,,,No
17,BlitzMax,"Application, game",Yes,Yes,,Yes,,Yes,,,No
18,Boo,"Application, game scripting",,Yes,,,,,,,No
19,Bro,"domain-specific, application",Yes,,,,,,Yes,,No
20,C,"Application, system,[15] general purpose, low-level operations",Yes,,,Yes,Yes,,,,"1989, ANSI C89, ISO C90, ISO C99, ISO C11, ISO C18[16]"
21,C++,"Application, system",Yes,Yes,Yes,Yes,Yes,,,,"1998. ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014,ISO/IEC 2017[17]"
22,C#,"Application, RAD, business, client-side, general, server-side, web",Yes,Yes,Yes[18],Yes,Yes,Yes,Yes,"structured, concurrent","2000, ECMA, ISO[19]"
23,Clarion,"General, business, web",Yes,Yes,Yes[20],,,,,,Unknown
24,Clean,General,,,Yes,,Yes,,,,No
25,Clojure,General,,,Yes,,,,,concurrent,No
26,CLU,General,Yes,Yes,,Yes,Yes,,,,No
27,COBOL,"Application, business",Yes,Yes,,Yes,,,,,"ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014"
28,Cobra,"Application, business, general, web",Yes,Yes,Yes,,Yes,Yes,,,No
29,ColdFusion (CFML),Web,,Yes,,Yes,,,,,No
30,Common Lisp,General,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent","1994, ANSI"
31,COMAL 80,Education,Yes,,,Yes,,,,,No
32,Crystal,General purpose,Yes,Yes[21],Yes,Yes,,,,alpha stage[22],No
33,Cython,"Application, general, numerical computing",Yes,Yes,Yes,,,Yes,,aspect-oriented,No
34,D,"Application, system",Yes,Yes,Yes,Yes,Yes,Yes,,"generative, concurrent",No
35,Dart,"Application, web, server-side, mobile, IoT",Yes,Yes,Yes,,,,,structured,Ecma-408 standard
36,Dylan,Application,,Yes,Yes,,,,,,No
37,Eiffel,"General, application, business, client-side, server-side, web (EWF)",Yes,Yes,Yes[23][24],,Yes,Yes Erl-G,Yes Agents,"distributed SCOOP, Void-safe","2005, ECMA, ISO[25]"
38,Elixir,"Application, distributed",,,Yes,,,,Yes,"concurrent, distributed",No
39,Erlang,"Application, distributed",,,Yes,,,,Yes,"concurrent, distributed",No
40,Euphoria,Application,,,,Yes,,Yes,,,No
41,Factor,General,Yes,,can be viewed as,,Yes,Yes,,stack-oriented,No
42,FP,,,,Yes,,,,,,No
43,F#,Application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No
44,Forth,General,Yes,,can be viewed as,,,,,stack-oriented,"1994, ANSI"
45,Fortran,"Application, numerical computing",Yes,Yes,Yes,Yes,Yes,,,"array-based, vectorized, concurrent, native distributed/shared-memory parallelism","1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)"
46,FreeBASIC,"Application, numerical computing",Yes,Yes,,Yes,Yes,,,,No
47,Gambas,Application,Yes,Yes,,,,,Yes,,No
48,Game Maker Language,"Application, games",Yes,Yes,,,,,Yes,,No
49,GLBasic,"Application, games",Yes,Yes,,Yes,,,,simple object-oriented,No
50,Go,"Application, web, server-side",Yes,[26],,Yes,,Yes,Yes,concurrent,De facto standard via Go Language Specification
51,Gosu,"Application, general, scripting, web",Yes,Yes,,,Yes,Yes,,,No
52,GraphTalk,Application,,Yes,,,,,,logic,No
53,Groovy,"Application, general, scripting, web",Yes,Yes,Yes,Yes,Yes,Yes,Yes,meta-programming,"In progress, JCP[27]"
54,Harbour,"Application, business, data processing, general, web",Yes,Yes,Yes,Yes,Yes,Yes,,declarative,No
55,Haskell,Application,,,Yes,,Yes,,,lazy evaluation,"2010, Haskell 2010[28]"
