,Name,Creator-maintainer,Based on,Standardized?,Specification,Binary?,Human-readable?,Supports references?e,Schema-IDL?,Standard APIs,Supports Zero-copy operations
0,Apache Avro,Apache Software Foundation,,No,Apache Avro™ 1.8.1 Specification,Yes,No,,Yes (built-in),,
1,Apache Parquet,Apache Software Foundation,,No,Apache Parquet[1],Yes,No,No,,"Java, Python",No
2,ASN.1,"ISO, IEC, ITU-T",,Yes,ISO/IEC 8824; X.680 series of ITU-T Recommendations,"Yes(BER, DER, PER, OER, or custom via ECN)","Yes(XER, JER, GSER, or custom via ECN)",Partialf,Yes (built-in),"Yes (C, C++, C#.NET, Java, Erlang)[2]",Yes (OER)
3,Bencode,"Bram Cohen (creator)BitTorrent, Inc. (maintainer)",,De facto standard via BitTorrent Enhancement Proposal (BEP),Part of BitTorrent protocol specification,Partially(numbers and delimiters are ASCII),No,No,No,No,
4,Binn,Bernardo Ramos,,No,Binn Specification,Yes,No,No,No,No,Yes
5,BSON,MongoDB,JSON,No,BSON Specification,Yes,No,No,No,No,
6,CBOR,"Carsten Bormann, P. Hoffman",JSON (loosely),Yes,RFC 7049,Yes,No,Yesthrough tagging,Yes(CDDL),No,Yes
7,Comma-separated values (CSV),RFC author:Yakov Shafranovich,,Partial(myriad informal variants used),RFC 4180(among others),No,Yes,No,No,No,No
8,Common Data Representation (CDR),Object Management Group,,Yes,General Inter-ORB Protocol,Yes,No,Yes,Yes,"ADA, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk",
9,D-Bus Message Protocol,freedesktop.org,,Yes,D-Bus Specification,Yes,No,No,Partial(Signature strings),Yes(see D-Bus),
10,Efficient XML Interchange (EXI),W3C,"XML, Efficient XML",Yes,Efficient XML Interchange (EXI) Format 1.0,Yes,Yes(XML),"Yes(XPointer, XPath)",Yes(XML Schema),"Yes(DOM, SAX, StAX, XQuery, XPath)",
11,FlatBuffers,Google,,No,flatbuffers github page Specification,Yes,Yes(Apache Arrow),Partial(internal to the buffer),Yes [3],"C++, Java, C#, Go, Python, Rust, JavaScript, PHP, C, Dart, Lua, TypeScript",Yes
