,Asian lunar exploration probes,Asian lunar exploration probes.1,Asian lunar exploration probes.2,Asian lunar exploration probes.3,Asian lunar exploration probes.4,Asian lunar exploration probes.5
0,Mission name,Type,Year,Vehicle,Outcome,
1,Hiten(MUSES-A),Flyby/Orbiter,1990,Mu-3S-II,Success,
2,Hagoromo,Orbiter,1990,Mu-3S-II,Failure,
3,Lunar-A,Orbiter,2004 (intended) Never launched,M5,Cancelled and integrated into Russia's Luna-Glob.,
4,SELENE(VRAD),Orbiter,2007,H-IIA 202,Success,
5,Chang'e 1,Orbiter,2007,Long March 3A,Success,
6,Chandrayaan-1,Orbiter,2008,PSLV-XL,Success,
7,Chang'e 2,Orbiter,2010,Long March 3C,Success,
8,Chang'e 3,OrbiterLanderRover,2013,Long March 3B,Success,
9,Chang'e 5-T1,Flyby,2014,Long March 3C,Success,
10,Chang'e 4,OrbitersLanderRover,2018-19,Long March 4C and Long March 3B,Success,
11,Chandrayaan-2,OrbiterLanderRover,2019,GSLV MkIII,Partial success,
12,Chandrayaan-3,LanderRover,November 2020,GSLV Mark II or GSLV MkIII,Planned,
13,Chang'e 5,Sample return,Q4 2020,Long March 5,Planned,
14,Korea Pathfinder Lunar Orbiter,Orbiter,December 2020,Falcon 9,Planned,
15,SELENE-2,OrbiterLanderRover,2020s (intended),H-IIA (intended),Cancelled,
16,SLIM,Lander,January 2022,H-IIA 202,Planned,
17,DESTINY+,Flyby,2022,Epsilon,Planned,
18,Chang'e 6,Sample return,2023-24,Long March 5,Planned,
19,Chang'e 7,Lander,2023,TBD,Planned,
20,Lunar Polar Exploration Mission,OrbiterLanderRover,2024,H-III,Proposed,
21,Chang'e 8,Lander,2026,TBD,Proposed,
22,North Korean mission to Moon,TBD,2026,Unha-20,Proposed,
