,Model(Codename),Launch,Architecture(Fab),Core,Core.1,Fillrate[a][b][c],Fillrate[a][b][c].1,Processing power[a][d](GFLOPS),Memory,Memory.1,Memory.2,Memory.3,TDP
0,Model(Codename),Launch,Architecture(Fab),Config[e],Clock[a] (MHz),Texture (GT/s),Pixel (GP/s),Processing power[a][d](GFLOPS),Bus type& width,Size (GiB),Clock (MT/s),Band-width (GB/s),TDP
1,RadeonR5 M330[138](Exo Pro),2015,GCN 1st gen(28 nm),320:20:8,Unknown1030,8.2,20.6,659.2,DDR364-bit,24,1000,14.416,18 W
2,RadeonR5 M335[138](Exo Pro),2015,GCN 1st gen(28 nm),320:20:8,Unknown1070,8.6,21.4,684.8,DDR364-bit,24,1100,17.6,Unknown
3,RadeonR7 M360[139](Meso XT),2015,GCN 1st gen(28 nm),384:24:8,Unknown1125,9,27,864,DDR364-bit,24,1000,16,Unknown
4,RadeonR9 M365X[140](Strato Pro),2015,GCN 1st gen(28 nm),640:40:16,Unknown925,14.8,37,1184,GDDR5128-bit,4,1125,72,50 W
5,RadeonR9 M370X[140](Strato Pro),May 2015,GCN 1st gen(28 nm),640:40:16,800,12.8,32,1024,GDDR5128-bit,2,1125,72,40–45 W
6,RadeonR9 M375[140](Strato Pro),2015,GCN 1st gen(28 nm),640:40:16,Unknown1015,16.2,40.6,1299.2,GDDR5128-bit,4,1100,35.2,Unknown
7,RadeonR9 M375X[140](Strato Pro),2015,GCN 1st gen(28 nm),640:40:16,Unknown1015,16.2,40.6,1299.2,GDDR5128-bit,4,1125,72,Unknown
8,RadeonR9 M380[140](Strato Pro),2015,GCN 1st gen(28 nm),640:40:16,Unknown900,14.4,36,1152,GDDR5128-bit,4,1500,96,Unknown
9,RadeonR9 M385X[140](Strato),2015,GCN 2nd gen(28 nm),896:56:16,Unknown1100,17.6,61.6,1971.2,GDDR5128-bit,4,1500,96,~75 W
10,RadeonR9 M390[140](Pitcairn),June 2015,GCN 1st gen(28 nm),1024:64:32,Unknown958,30.7,61.3,1962,GDDR5256-bit,2,1365,174.7,~100 W
11,RadeonR9 M390X[140](Amethyst XT),2015,GCN 3rd gen(28 nm),2048:128:32,Unknown723,23.1,92.5,2961.4,GDDR5256-bit,4,1250,160,125 W
12,RadeonR9 M395[140](Amethyst Pro),2015,GCN 3rd gen(28 nm),1792:112:32,Unknown834,26.6,93.4,2989.0,GDDR5256-bit,2,1365,174.7,125 W
13,RadeonR9 M395X[140]Amethyst XT),2015,GCN 3rd gen(28 nm),2048:128:32,Unknown909,29.1,116.3,3723.3,GDDR5256-bit,4,1365,174.7,125 W
