,Unnamed: 0,English,Esperanto,Novial
0,Infinitive,(to) be absorbed,est-i absorb-at-a(j),es absorba-t
1,Simple present,"is (am, are) absorbed",est-as absorb-at-a(j),es absorba-t
2,Future,will (shall) be absorbed,est-os absorb-at-a(j),sal es absorba-t
3,Simple past,was absorbed,est-is absorb-at-a(j),did es (es-ed) absorba-t
4,Past perfect,have (has) been absorbed,est-as absorb-it-a(j),ha es absorba-t
5,Pluperfect,had been absorbed,est-is absorb-it-a(j),ha-d es absorba-t
6,Future perfect,will (shall) have been absorbed,est-os absorb-it-a(j),sal ha es absorba-t
7,Future in the past,"was going to (would, should) be absorbed",est-is absorb-ot-a(j),sal-ed es absorba-t
8,Conditional,would (should) be absorbed,est-us absorb-at-a(j),vud es absorba-t
9,Conditional perfect,would (should) have been absorbed,est-us absorb-it-a(j),vud ha es absorba-t
10,First imperative,let us be absorbed!,ni est-u absorb-ataj!,let nus es absorba-t!
11,Second imperative,be absorbed!,est-u absorb-at-a(j)!,es absorba-t!
12,Third imperative,let him be absorbed!,li est-u absorb-at-a!,let lo es absorba-t!
