,Language,Language.1,IBM Watson,Apertium,OpenLogos,Google Translate,Moses for Mere Mortals,Babel Fish,Bing Translator,GramTrans,SYSTRAN,IdiomaX
0,To English,Arabic to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
1,To English,Catalan to English,No,Yes,No,Yes,Yes,No,Yes,No,No,No
2,To English,Chinese (Simplified) to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
3,To English,Chinese (Traditional) to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
4,To English,Czech to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
5,To English,Danish to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
6,To English,Dutch to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
7,To English,Esperanto to English,No,Yes,No,Yes,Yes,No,No,No,No,No
8,To English,Estonian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
9,To English,Finnish to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
10,To English,French to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
11,To English,Galician to English,No,Yes,No,Yes,Yes,No,No,No,No,No
12,To English,German to English,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
13,To English,Greek to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
14,To English,Haitian Creole to English,No,No,No,Yes,No,No,Yes,No,No,No
15,To English,Hebrew to English,Yes,No,No,Yes,No,No,Yes,No,No,No
16,To English,Hindi to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
17,To English,Hungarian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
18,To English,Indonesian to English,No,No,No,Yes,No,No,Yes,No,No,No
19,To English,Irish to English,No,No,No,Yes,Yes,No,No,No,No,No
20,To English,Italian to English,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
21,To English,Japanese to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
22,To English,Korean to English,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
23,To English,Latvian to English,No,No,No,Yes,Yes,No,Yes,No,Yes,No
24,To English,Lithuanian to English,No,No,Yes,Yes,No,Yes,No,Yes,No,No
25,To English,Macedonian to English,No,Yes,No,Yes,Yes,No,No,No,No,No
26,To English,Malay to English,No,No,No,Yes,No,No,Yes,No,No,No
27,To English,Maltese to English,No,No,No,Yes,Yes,No,No,No,No,No
28,To English,Norwegian to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
29,To English,Persian to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
30,To English,Polish to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
31,To English,Portuguese to English,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
32,To English,Portuguese (Brazilian) to English,Yes,No,No,No,No,No,No,No,No,No
33,To English,Romanian to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
34,To English,Russian to English,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
35,To English,Serbo-Croatian to English,No,No,No,Yes,Yes,No,No,No,No,No
36,To English,Slovak to English,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
37,To English,Slovene to English,Yes,No,No,Yes,Yes,No,No,No,Yes,No
38,To English,Spanish to English,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
39,To English,Swedish to English,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No
40,To English,Tagalog to English,No,No,No,Yes,No,No,No,No,No,No
41,To English,Thai to English,No,No,No,Yes,No,No,Yes,No,No,No
42,To English,Turkish to English,Yes,No,No,Yes,No,No,Yes,No,Yes,No
43,To English,Ukrainian to English,No,No,No,Yes,Yes,No,Yes,No,Yes,No
