,IPA,iək,ĩ,ai,aĩ,au,am,ɔm,m̩,ɔŋ,ŋ̍,u,ua,ue,uai,uan,ɨ,(i)ũ
0,Pe̍h-ōe-jī,ek,iⁿ,ai,aiⁿ,au,am,om,m,ong,ng,u,oa,oe,oai,oan,i,(i)uⁿ
1,Revised TLPA,ik,iN,ai,aiN,au,am,om,m,ong,ng,u,ua,ue,uai,uan,ir,(i)uN
2,TLPA,ik,inn,ai,ainn,au,am,om,m,ong,ng,u,ua,ue,uai,uan,ir,(i)unn
3,BP,ik,ni,ai,nai,au,am,om,m,ong,ng,u,ua,ue,uai,uan,i,n(i)u
4,MLT,eg/ek,vi,ai,vai,au,am,om,m,ong,ng,u,oa,oe,oai,oan,i,v(i)u
5,DT,ik,inn/iⁿ,ai,ainn/aiⁿ,au,am,om,m,ong,ng,u,ua,ue,uai,uan,i,(i)unn/uⁿ
6,Taiwanese kana,イェㇰ,イイ,アイ,アイ,アウ,アム,オム,ム,オン,ン,ウウ,ヲア,ヲエ,ヲァイ,ヲァヌ,ウウ,ウウ
7,Extended bopomofo,ㄧㆶ,ㆪ,ㄞ,ㆮ,ㆯ,ㆰ,ㆱ,ㆬ,ㆲ,ㆭ,ㄨ,ㄨㄚ,ㄨㆤ,ㄨㄞ,ㄨㄢ,ㆨ,ㆫ
8,Tâi-lô,ik,inn,ai,ainn,au,am,om,m,ong,ng,u,ua,ue,uai,uan,ir,(i)unn
9,Example (traditional Chinese),翻譯,病院,愛情,,歐洲,暗時,,阿姆,王梨,黃色,有無,歌曲,講話,奇怪,人員,豬肉,舀水
10,Example (simplified Chinese),翻译,病院,爱情,,欧洲,暗时,,阿姆,王梨,黄色,有无,歌曲,讲话,奇怪,人员,猪肉,舀水
