,Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[b],Bus interface,L2 Cache (MB),Clock speeds,Clock speeds.1,Clock speeds.2,Memory,Memory.1,Memory.2,Memory.3,Fillrate[c],Fillrate[c].1,Processing power (GFLOPS)[c][d],Processing power (GFLOPS)[c][d].1,Processing power (GFLOPS)[c][d].2,TDP (Watts),SLI support,Release price (USD),Release price (USD).1
0,Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[b],Bus interface,L2 Cache (MB),Base core clock (MHz),Boost core clock (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Pixel (GP/s)[e][f],Texture (GT/s)[g],Single precision,Double precision,Half precision,TDP (Watts),SLI support,MSRP,Founders Edition
1,GeForce GT 1030 [67][68],"March 12, 2018",GP108-310-A1,Samsung14LPP,1.8,74,384:24:16 (3) (1),PCIe 3.0 x4 [69][70],?,1152,1379,2100,2,16.8,DDR4,64,18.422.0,27.633.0,884.71 059.0,27.633.0,13.816.5,20,No,$79,
2,GeForce GT 1030 [67][68],"May 17, 2017",GP108-300-A1,Samsung14LPP,1.8,74,384:24:16 (3) (1),PCIe 3.0 x4 [69][70],.5,1227,1468,6000,2,48.0,GDDR5,64,19.623.4,29.435.2,942.31 127.4,29.435.2,14.717.6,30,No,$70,
3,GeForce GTX 1050[71],"October 25, 2016",GP107-300-A1,Samsung14LPP,3.3,132,640:40:32 (5) (2),PCIe 3.0 x16,1,1354,1455,7000,2,112.0,GDDR5,128,43.346.6,54.158.8,1 733.11 862.4,54.158.2,27.029.1,75(Retailup to120),No,$109,
4,GeForce GTX 1050[71],"May 21, 2018",GP107-301-A1,Samsung14LPP,3.3,132,768:48:24 (6) (2),PCIe 3.0 x16,.75,1392,1518,7000,3,84.0,GDDR5,96,33.436.4,66.872.9,2 138.12 331.6,66.872.9,33.436.4,75(Retailup to120),No,Unknown,
5,GeForce GTX 1050 Ti [71],"October 25, 2016",GP107-400-A1,Samsung14LPP,3.3,132,768:48:32 (6) (2),PCIe 3.0 x16,1,1290,1392,7000,4,112.0,GDDR5,128,41.244.5,61.966.8,1 981.42 138.1,61.966.8,30.933.4,75(Retailup to120),No,$139,
6,GeForce GTX 1060[72][73][74][75],"December 25, 2016",GP104-140-A1,TSMC16FF,7.2,314,1152:72:48 (9) (2),PCIe 3.0 x16,1.5?,1506,1708,8000,3,192.0,GDDR5,192,72.281.9,108.4122.9,3 469.83 935.2,108.4122.9,54.261.4,120(Retailup to200),No,$199,
7,GeForce GTX 1060[72][73][74][75],"August 18, 2016",GP106-300-A1,TSMC16FF,4.4,200,1152:72:48 (9) (2),PCIe 3.0 x16,1.5,1506,1708,8000,3,192.0,GDDR5,192,72.281.9,108.4122.9,3 469.83 935.2,108.4122.9,54.261.4,120(Retailup to200),No,$199,
8,GeForce GTX 1060[72][73][74][75],"December 26, 2017",GP106-350-K3-A1,TSMC16FF,4.4,200,1280:80:40 (10) (2),PCIe 3.0 x16,1.25,1506,1708,8000,5,160.0,GDDR5,160,60.268.3,120.4136.7,3 855.34 375.0,120.4136.7,60.268.3,120(Retailup to200),No,OEM,
9,GeForce GTX 1060[72][73][74][75],"March 8, 2018",GP104-150-A1,TSMC16FF,7.2,314,1280:80:48 (10) (2),PCIe 3.0 x16,1.5,1506,1708,8000,6,192.0,GDDR5,192,72.282.0,120.4136.7,3 855.34 375.0,120.4136.7,60.268.3,120(Retailup to200),No,Unknown,
10,GeForce GTX 1060[72][73][74][75],"December, 2018",GP104-150-KA-A1,TSMC16FF,7.2,314,1280:80:48 (10) (2),PCIe 3.0 x16,1.5,1506,1708,8000,6,192.0,GDDR5X,192,72.282.0,120.4136.7,3 855.34 375.0,120.4136.7,60.268.3,120(Retailup to200),No,Unknown,
11,GeForce GTX 1060[72][73][74][75],"July 19, 2016",GP106-400-A1,TSMC16FF,4.4,200,1280:80:48 (10) (2),PCIe 3.0 x16,1.5?,1506,1708,8000,6,192.0,GDDR5,192,72.282.0,120.4136.7,3 855.34 375.0,120.4136.7,60.268.3,120(Retailup to200),No,$249,$299
12,GeForce GTX 1060[72][73][74][75],"April 20, 2017",GP106-410-A1,TSMC16FF,4.4,200,1280:80:48 (10) (2),PCIe 3.0 x16,1.5?,1506,1708,9000,6,216.0,GDDR5,192,72.282.0,120.4136.7,3 855.34 375.0,120.4136.7,60.268.3,120(Retailup to200),No,$299,
13,GeForce GTX 1070[76][77],"June 10, 2016 /Dec. 2018",GP104-200-A1,TSMC16FF,7.2,314,1920:120:64 (15) (3),PCIe 3.0 x16,2,1506,1683,8000,8,256.0,GDDR5 / GDDR5X,256,96.3107.7,180.7201.9,5 783.06 462.7,180.7201.9,90.3100.9,150(Retailup to250),4-way SLI or 2-way SLI HB [78][79],$379,$449 ($399)[80]
14,GeForce GTX 1070 Ti[76],"November 2, 2017",GP104-300-A1,TSMC16FF,7.2,314,2432:152:64 (19) (4),PCIe 3.0 x16,2,1607,1683,8000,8,256.0,GDDR5,256,102.8107.7,244256,7 816.48 186.1,244.2255.8,122.1127.9,180(Retailup to300),4-way SLI or 2-way SLI HB [78][79],$449,$449
15,GeForce GTX 1080[81],"May 27, 2016",GP104-400-A1,TSMC16FF,7.2,314,2560:160:64 (20) (4),PCIe 3.0 x16,2,1607,1733,10000,8,320.0,GDDR5X,256,102.8110.9,257.1277.2,8 227.88 872.9,257.1277.2,128.5138.6,180(Retailup to300),4-way SLI or 2-way SLI HB [78][79],$599 ($499)[80],$699 ($549)[80]
