,System,Email,RSS,Atom,XMPP,Twitter
0,Apache Bloodhound,Yes,Yes,No,No,No
1,Assembla Tickets,Yes,Yes,No,No,Yes
2,Axosoft,Yes,Yes,No,No,No
3,Bugzilla,Yes,Yes,Yes,No,No
4,Debbugs,Yes,No,No,No,No
5,Faveo Helpdesk,Yes,No,No,No,No
6,FogBugz,Yes,Yes,No,No,No
7,Fossil,No,Yes,No,No,No
8,FusionForge,Yes,Yes,No,No,No
9,GLPI,Yes,No,No,Yes,No
10,GNATS,Yes,No,No,No,No
11,HP Quality Center,Yes,No,No,No,No
12,IBM Rational ClearQuest,Yes,No,No,No,No
13,Jira,Yes,Yes,No,Yes,No
14,MantisBT,Yes,Yes,No,No,Yes
15,Microsoft Dynamics CRM,Yes,No,No,No,No
16,org-mode,No,No,No,No,No
17,OTRS,Yes,No,No,No,No
18,Phabricator,Yes,No,No,No,No
19,Pivotal Tracker,Yes,Yes,Yes,No,Yes
20,Redmine,Yes,Yes,Yes,"Yes, via plugin",Yes
21,Request Tracker,Yes,Yes[68],No,No,No
22,Roundup,Yes,Yes[69],Yes[69],No,No
23,StarTeam,Yes,No,No,No,No
24,Supportworks,Yes,No,No,No,No
25,SysAid,Yes,No,No,No,No
26,Team Foundation Server,Yes,No,No,No,No
27,TestTrack,Yes,Yes,No,No,No
28,Trac,Yes,Yes,No,No,No
29,TrackerSuite.Net,Yes,No,No,No,No
30,Twproject,Yes,Yes,No,No,Yes
31,Usersnap,Yes,Yes,No,No,No
32,Wrike,Yes,No,No,No,No
33,YouTrack,Yes,Yes,No,Yes,No
34,System,Email,RSS,Atom,XMPP,Twitter
