,Word,Malaysian meaning,Indonesian meaning
0,ahli,"a member (of a group) (when the word is used by itself) (from Arabo-Persian ""ahli"" اهلی 'belonging to a group, people, indigenous or sim.'), expert in a field (from Arabo-Persian ""'aqli"" عقلی 'belonging to the intellect or mind, intellectual')",expert in a specific field
1,akta (from Latino-Dutch acta),act (= law),act (= written legal document)
2,awak,you (casual),"me / I (Used by speakers from Sumatra mainly Malays, people in Medan, etc.), crew (of transportation)"
3,baja,fertilizer,steel Malay: besi waja
4,banci,census (Indonesian: sensus),"effeminate, transvestite homosexual (negative connotation)"
5,bandar,city,port
6,bangun,to develop/ wake up (from sleep),to build / wake up (from sleep)
7,bapa,Father (male parent),specific to 'Father' (God) in religious context (Christianity) our Father which art in Heaven = Bapa kami yang di surga Father in Indonesian is bapak (with an additional 'k' letter')
8,belanja,"to treat, giving something for free","to shop (note: also carries this meaning in Malay, though in a context more akin to ""spend"")."
9,berbagi,to give,to share (something)
10,berbual,to chat,to tell a lie
11,bercinta,in (the essence of) love,"to make love, have sexual intercourse"
12,beredar,"From the root word ""edar"" which can means; to oscillate (planets only), to leave, or to distribute","to oscillate, to distribute"
13,berlaku,"happen, occur",apply
14,biji,seed,"seed, testicles (""balls"", offensive)"
15,bila,when,"if, when (older version, almost obsolete)"
16,bina,to build,to develop
17,bisa,venom,"can/be able to (also understood but less frequently used in Malay) (same as ""boleh"" in Malay), venom"
18,bontot/buntut,buttock,"tail ('ekor' as commonly used in Malay, sometimes in Indonesia)"
19,budak,kidIndonesian:anak or bocah,slave
20,butoh/butuh,"male genitals, an offensive reference",need
21,cadangan,"suggestion, opinion, proposal (example: peti cadangan = suggestion box)Indonesian:saran","reserve, spare (example: ban cadangan = spare tire)"
22,comel,"cute, pretty",(to call) someone who can not keep a secret (example: mulutnya comel = her mouth can't keep a secret)
23,daripada,"A preposition that carries 5 meanings; from (to explain the origin of something) than (to do comparison) from (to protect from, to avoid from ) from (to state the sender of something) from (to state the differences)|| than (comparison) (example: Kamus ini lebih baik daripada yang itu = This dictionary is better than that one)",
24,detik,jiffy,second
25,doktor,doctor (medical); doctorate (educational title),"doctorate (educational title) In Indonesian, the equivalent for medical doctor is dokter"
26,duduk,"to sit, a place to live on (only used informally)","to sit, to occupy"
27,email,"electronic mail (recently changed to ""emel"")",enamel
28,gampang,bastard from 'anak gampang' lit. easy child.,easy (non-negative meaning)
29,getah,"rubber, plant sap",plant sap
30,hemat,moral excellence,"frugal, pennywise, save money or something e.g. electricity, gas or water usage"
31,jabatan,department,position
32,jawatan,position,department
33,jemput,"to invite, to pick up",to pick up
34,jeruk,pickles/preserved fruits or vegetables,orange (fruit)
