,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed.1,Clock speed.2,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Supported API version,Supported API version.1,Supported API version.2,Processing power (GFLOPS)2,TBP (Watts),Notes
0,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Min (MHz),Average (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (GB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,OpenCL,Processing power (GFLOPS)2,TBP (Watts),Notes
1,GeForce 920M,"March 12, 2015",GK208,28,PCIe 3.0 ×16,384:32:8(2 SMX),954,Unknown,1800,7.6,30.5,2,14.4,DDR3,64,12 (11_0),4.5,1.2,733,33,
2,GeForce 930M,"March 12, 2015",GM108,28,PCIe 3.0 ×16,384:24:8(3 SMM),928,941,1800,7.4,22.3,2,14.4,DDR3,64,12 (11_0),4.5,1.2,713,29 [137],
3,GeForce 940M,"March 12, 2015",GM108,28,PCIe 3.0 ×16,384:24:8(3 SMM),1072,1176,2000,8.6,25.7,2,16,DDR3,64,12 (11_0),4.5,1.2,823,36 [138],
4,GeForce GTX 950M,"March 12, 2015",GM107,28,PCIe 3.0 ×16,640:40:16(5 SMM),914,Unknown,5000,14.6,36.6,"2, 4",80,GDDR5,128,12 (11_0),4.5,1.2,1170,Unknown,Similar core config to GTX 750 Ti (GM107-400-A2)
5,GeForce GTX 950M,"March 12, 2015",GM107,28,PCIe 3.0 ×16,640:40:16(5 SMM),914,Unknown,2000,14.6,36.6,"2, 4",32,DDR3,128,12 (11_0),4.5,1.2,1170,55 [139],Similar core config to GTX 750 Ti (GM107-400-A2)
6,GeForce GTX 960M,"March 12, 2015",GM107,28,PCIe 3.0 ×16,640:40:16(5 SMM),1097,1176,5000,17.5,43.8,"2, 4",80,GDDR5,128,12 (11_0),4.5,1.2,1403,65 [140],Similar core config to GTX 750 Ti (GM107-400-A2)
7,GeForce GTX 965M [141],"January 5, 2015",GM204,28,PCIe 3.0 ×16,1024:64:32(8 SMM),944,Unknown,5000,30.2,60.4,"2, 4",80,GDDR5,128,12 (12_1),4.5,1.2,1933,60 [142],Similar core config to GTX 960 (GM206-300)
8,GeForce GTX 970M [143],"October 7, 2014",GM204,28,PCIe 3.0 ×16,1280:80:48(10 SMM),944,993,5000,44.4,73.9,"3, 6",120,GDDR5,192,12 (12_1),4.5,1.2,2365,75,Similar core config to GTX 960 OEM (GM204)
9,GeForce GTX 980M [144],"October 7, 2014",GM204,28,PCIe 3.0 ×16,1536:96:64(12 SMM),1038,1127,5000,66.4,99.6,"4, 8",160,GDDR5,256,12 (12_1),4.5,1.2,3189,100,Similar core config to GTX 970 (GM204-200) with one SMM disabled
10,GeForce GTX 980 [145],"September 22, 2015",GM204,28,PCIe 3.0 ×16,2048:128:64(16 SMM),1064,Unknown,7010,68.1,136.2,8,224,GDDR5,256,12 (12_1),4.5,1.2,4358,"165, oc to 200",Similar to Desktop GTX 980
11,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed,Clock speed,Fillrate,Fillrate,Memory,Memory,Memory,Memory,Supported API version,Supported API version,Supported API version,Processing power (GFLOPS)2,TBP (Watts),Notes
12,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Min (MHz),Average (MHz),Memory (MT/s),Pixel (GP/s),Texture (GT/s),Size (GB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,OpenCL,Processing power (GFLOPS)2,TBP (Watts),Notes
