,Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required
0,Contraceptive implant,"Implanon,[16] Jadelle,[17] the implant",0.05 (1 of 2000),0.05,Progestogen,Subdermal implant,3-5 years
1,Vasectomy[16],male sterilization,0.15 (1 of 666),0.1,Sterilization,Surgical procedure,Once
2,Combined injectable[18],"Lunelle, Cyclofem",0.2 (1 of 500),0.2,Estrogen + progestogen,Injection,Monthly
3,IUD with progestogen[16],"Mirena, Skyla, Liletta",0.2 (1 of 500),0.2,Intrauterine & progestogen,Intrauterine,3-7 years
4,Essure[19],female sterilization,0.26 (1 of 384),0.26,Sterilization,Surgical procedure,Once
5,Tubal ligation[16],female sterilization,0.5 (1 of 200),0.5,Sterilization,Surgical procedure,Once
6,IUD with copper[16],"Paragard, Copper T, the coil",0.8 (1 of 125),0.6,Intrauterine & copper,Intrauterine,3 to 12+ years
7,"Forschungsgruppe NFP symptothermal method, teaching sessions + application[16][20]",Sensiplan by Arbeitsgruppe NFP (Malteser Germany gGmbh),1.8 (1 of 55),0.4,Behavioral,"Teaching sessions, observation, charting and evaluating a combination of fertility symptoms",Three teaching sessions + daily application
8,LAM for 6 months only; not applicable if menstruation resumes[21][note 1],ecological breastfeeding,2 (1 of 50),0.5,Behavioral,Breastfeeding,Every few hours
9,2002[22] cervical cap and spermicide (discontinued in 2008) used by nulliparous[23][note 2][note 3],Lea's Shield,5 (1 of 20),no data,Barrier + spermicide,Vaginal insertion,Every act of intercourse
10,MPA shot[16],"Depo Provera, the shot",6 (1 of 17),0.2,Progestogen,Injection,12 weeks
11,"Testosterone injection for male (unapproved, experimental method)[24]",Testosterone Undecanoate,6.1 (1 of 16),1.1,Testosterone,Intramuscular Injection,Every 4 weeks
12,1999 cervical cap and spermicide (replaced by second generation in 2003)[25],FemCap,7.6[failed verification] (estimated) (1 of 13),no data,Barrier & spermicide,Vaginal insertion,Every act of intercourse
13,Contraceptive patch[16],"Ortho Evra, the patch",9 (1 of 12),0.3,Estrogen & progestogen,Transdermal patch,Weekly
14,Combined oral contraceptive pill[16],the Pill,9 (1 of 11)[26],0.3,Estrogen & progestogen + Placebo[27],Oral medication,Daily
15,Ethinylestradiol/etonogestrel vaginal ring[16],"NuvaRing, the ring",9 (1 of 11),0.3,Estrogen & progestogen,Vaginal insertion,In place 3 weeks / 1 week break
16,Progestogen only pill[16],"POP, minipill",9[26],0.3,Progestogen[27],Oral medication,Daily
17,Ormeloxifene[28],"Saheli, Centron",9,2,SERM,Oral medication,Weekly
18,Emergency contraception pill,Plan B One-Step®,no data,no data,Levonorgestrel,Oral medication,Every act of intercourse
19,Standard Days Method[16],"CycleBeads, iCycleBeads",12 (1 of 8.3),5,Behavioral,Counting days since menstruation,Daily
20,Diaphragm and spermicide[16],,12 (1 of 6),6,Barrier & spermicide,Vaginal insertion,Every act of intercourse
21,Plastic contraceptive sponge with spermicide used by nulliparous[16][note 3],"Today sponge, the sponge",12,9,Barrier & spermicide,Vaginal insertion,Every act of intercourse
22,2002[22] cervical cap and spermicide (discontinued in 2008) used by parous[23][note 2][note 4],Lea's Shield,15 (1 of 6),no data,Barrier + spermicide,Vaginal insertion,Every act of intercourse
23,1988 cervical cap and spermicide (discontinued in 2005) used by nulliparous[note 3],Prentif,16,9,Barrier + spermicide,Vaginal insertion,Every act of intercourse
24,Male latex condom[16][26],Condom,18 (1 of 5),2,Barrier,Placed on erect penis,Every act of intercourse
25,Female condom[16],,21 (1 of 4.7),5,Barrier,Vaginal insertion,Every act of intercourse
26,Coitus interruptus[16],"withdrawal method, pulling out",22 (1 of 5)[29],4,Behavioral,Withdrawal,Every act of intercourse
27,Symptoms-based fertility awareness ex. symptothermal and calendar-based methods[16][note 5][note 6],"TwoDay method, Billings ovulation method, Creighton Model",24 (1 of 4),3–4,Behavioral,"Observation and charting of basal body temperature, cervical mucus or cervical position",Throughout day or daily[note 7]
28,Calendar-based methods[16],"the rhythm method, Knaus-Ogino method, Standard Days method",no data,5,Behavioral,Calendar-based,Daily
29,Plastic contraceptive sponge with spermicide used by parous[16][note 4],"Today sponge, the sponge",24 (1 of 4),20,Barrier & spermicide,Vaginal insertion,Every act of intercourse
30,"Spermicidal gel, foam, suppository, or film[16]",,28 (1 of 4),18,Spermicide,Vaginal insertion,Every act of intercourse
31,1988 cervical cap and spermicide (discontinued in 2005) used by parous[note 4],Prentif,32,26,Barrier + spermicide,Vaginal insertion,Every act of intercourse
32,Abstinence pledge[note 8][30][better source needed],,50–57.5 (estimated)(1 of 2),no data,Behavioral,Commitment,Once
33,None (unprotected intercourse)[16],,85 (6 of 7),85,Behavioral,Discontinuing birth control,
34,Placebo[31],,"100[note 9] (all, after about half a year)",100,Placebo,Oral medication,Daily
35,Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required
