,Model,Launch,Code name,Fab (nm),"Core config1,2",Core clock (MHz),Fillrate,Fillrate.1,Fillrate.2,Fillrate.3,Memory,Memory.1,Memory.2,Memory.3,Memory.4,Bus interface,API compliance (version),API compliance (version).1,API compliance (version).2,Processing power(GFLOPS),Notes
0,Model,Launch,Code name,Fab (nm),"Core config1,2",Core clock (MHz),MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MiB),Clock (MHz),RAM type,Bus width (bit),Bandwidth (GB/s),Bus interface,Direct3D,OpenGL,other,Processing power(GFLOPS),Notes
1,Flipper (GameCube) [374][375][376][377][378],"September 14, 2001",Flipper,NEC 180 nm[379],4(Pixel Pipelines):1(Vertex Pipeline):4:4,162,648,648,648,90,24 shared16 shared3 eDRAM,32481162,1T-SRAMSDRAMeDRAM,648512,3.21.612.8/9.63,Integrated,No,Unknown,Unknown,9.4,"Fixed-function T&L, TEV register combiner"
2,Xenos (Xbox 360)[380][381],"November 22, 2005",XenonZephyrOpusFalconJasperVejleCorona,TSMC 90 nm90 nm65/80 nm65/80 nm65 nm[382]45 nm[383]45 nm,240(48x5):16:8,500,240000,4000,8000,6000,512 (shared)10 eDRAM,700500,GDDR3eDRAM,128,22.432 (GPU to daughter die)256 (Daughter die ROP to eDRAM),Integrated,9.0c+,No,Unknown,240,Surface tessellation
3,Hollywood (Wii)[384],"November 19, 2006",Hollywood,NEC 90 nm,4(Pixel Pipelines):1(Vertex Pipeline):4:4,243,972,972,972,135,24 shared64 shared3 eDRAM,486Unknown243,1T-SRAMGDDR3eDRAM,64Unknown512,4.8419.2/14.4,Integrated,No,Unknown,Unknown,14.1,"Fixed-function T&L, TEV register combiner"
4,Latte (Wii U)[385],"November 18, 2012",Latte,Renesas 45 nm,160:16:8,550,176000,4400,8800,Unknown,2048 (shared)32 eDRAM,800 (1600 effective)550,DDR3eDRAM,641024,12.870.4,Integrated,No,Unknown,Unknown,176-352,
5,Liverpool (PlayStation 4)[386],"November 15, 2013",Liverpool (GCN based),TSMC 28 nm16 nm,1152:72:32,800,1843200,25600,57600,Unknown,8192 (shared),1375 (5500 effective),GDDR5,256,176,Integrated,No,4.2,"GNM, GNMX, PlayStation Shader Language, Mantle technically possible",1843.2,HDR possible (only 2K)
6,Durango (Xbox One)[387],"November 22, 2013",Durango (GCN based),TSMC 28 nm (One S) 16 nm,768:48:16,"853, (One S) 914","1,310,208, (One S) 1,403,904","13,648, (One S) 14,624","40,944, (One S) 43,872",Unknown,8192 (shared)32 eSRAM,1066.5 (2133 effective)1706 (3412 effective),DDR3eSRAM,256,"68.3218, 219 (One S)",Integrated,11.2[388]12,No,Mantle technically possible,"1310.2, (One S) 1403.9","Tiled resources, (One S) Upscaled 4K HDR support"
7,Neo (PlayStation 4 Pro)[389][390][391],"November 10, 2016",Ellesmere GCN 4,TSMC 16 nm,2304:144:32,911,4197888,29152,131200,Unknown,8192,1700 (6800 effective),GDDR5,256,217.6,Integrated,No,4.2 (4.5),"GNM, GNMX, PlayStation Shader Language, Mantle technically possible",4197.8,"4K HDR possible, Full Compatible PS4 mode with reduced power consumption"
8,Scorpio Engine (Xbox One X)[392][393],"November 7, 2017",Jaguar,TSMC 16 nm,2560:160:32,1172,6000640,"37,504 [394]",187520,Unknown,12288 (shared),1700 (6800 effective),GDDR5,384,326,Integrated,11.2 12,No,Unknown,6000.6,"4K HDR support, supersampling"
9,Scarlett (Next-Gen Xbox),?,Project Scarlett,7 nm,?,?,?,?,?,?,?,?,?,?,?,?,12,?,?,?,"8K support, high refresh rate support"
10,Model,Launch,Code name,Fab (nm),"Core config1, 2",Core clock (MHz),Million Operations/s,Million Pixels/s,MTexels/s,MVertices/s,Size (MiB),Clock (MHz),RAM type,Bus width (bit),Bandwidth (GB/s),Bus interface,Direct3D,OpenGL,Other,Processing power(GFLOPS),Notes
11,Model,Launch,Code name,Fab (nm),"Core config1, 2",Core clock (MHz),Fillrate,Fillrate,Fillrate,Fillrate,Memory,Memory,Memory,Memory,Memory,Bus interface,API compliance (version),API compliance (version),API compliance (version),Processing power(GFLOPS),Notes
