,Unnamed: 0,MD,DO
0,Standardized admissions examination,Medical College Admission Test (MCAT),Medical College Admission Test (MCAT)
1,Medical school application service,AMCAS/TMDSAS,AACOMAS/TMDSAS
2,Years of medical school,4,4
3,Medical Licensing Exams (MLE),USMLE required,COMLEX required USMLE optional
4,COMLEX required,,
5,USMLE optional,,
6,Residency(Current),MD (ACGME),One must be selected: DO (AOA) MD (ACGME) combined DO/MD AOA approval of an ACGME program[57]
7,DO (AOA),,
8,MD (ACGME),,
9,combined DO/MD,,
10,AOA approval of an ACGME program[57],,
11,"Residency(After June 30, 2020)",ACGME,ACGME
12,Board certification,MD medical specialty boards,Either DO or MD medical specialty boards
