,Unnamed: 0,read-write,read-only,write-only
0,ABAP Objects,,,
1,C++ (STL),,,
2,C#,type Bar { get; set; },type Bar { get; private set; },type Bar { private get; set; }
3,D,,,
4,Java,,,
5,Objective-C 2.0 (Cocoa),@property (readwrite) type bar; and then inside @implementation @synthesize bar;,@property (readonly) type bar; and then inside @implementation @synthesize bar;,
6,Swift,var bar : type,let bar : type,
7,Eiffel,,,
8,Python,"@propertydef bar(self):Tab ↹instructions@bar.setterdef bar(self, value):Tab ↹instructions",@propertydef bar(self):Tab ↹instructions,"bar = property()@bar.setterdef bar(self, value):Tab ↹instructions"
9,Visual Basic .NET,Property Bar As type« = initial_value» (VB 10),,
10,PHP,,,
11,Perl[34],use base qw(Class::Accessor);__PACKAGE__->mk_accessors('Bar');,use base qw(Class::Accessor);__PACKAGE__->mk_ro_accessors('Bar');,use base qw(Class::Accessor);__PACKAGE__->mk_wo_accessors('Bar');
12,Raku,,,
13,Ruby,attr_accessor :bar,attr_reader :bar,attr_writer :bar
14,Windows PowerShell,,,
15,OCaml,,,
16,F#,"member val Bar = value with get, set",,
17,COBOL,level-number bar clauses PROPERTY.,level-number bar clauses PROPERTY «WITH» NO SET.,level-number bar clauses PROPERTY «WITH» NO GET.
18,Cobra,pro bar from var «as type»,get bar from var «as type»,set bar from var «as type»
