,Client,Creator,Software license,Latest release
0,BookmarkSync,Jack Dean,Proprietary,"Windows: 3.0.0 (August 2010; 9 years ago) [±] Mac OS X: 1.0.4 (September 14, 2005; 14 years ago) [±] BookmarkSync was discontinued some time around 2006."
1,Opera,Opera Software,Proprietary,Opera: 65.0.3467.48 (20 November 2019; 14 days ago[1]) Opera Mini: Android44.1.2254.143214 / 23 September 2019; 2 months ago[2]iOS16.0.14 / 4 October 2018; 14 months ago[3]Windows Mobile 10 and Phone 8.19.1.0.232 / 16 June 2016; 3 years ago[4]BlackBerry8.0.1 / 10 July 2014; 5 years ago[5]Symbian7.1.32453 / 6 December 2016; 2 years ago[6]Java ME8.0 / 12 March 2014; 5 years ago[7]
2,Android,44.1.2254.143214 / 23 September 2019; 2 months ago[2],,
3,iOS,16.0.14 / 4 October 2018; 14 months ago[3],,
4,Windows Mobile 10 and Phone 8.1,9.1.0.232 / 16 June 2016; 3 years ago[4],,
5,BlackBerry,8.0.1 / 10 July 2014; 5 years ago[5],,
6,Symbian,7.1.32453 / 6 December 2016; 2 years ago[6],,
7,Java ME,8.0 / 12 March 2014; 5 years ago[7],,
8,SiteBar,Ondrej Brablc,GPL,3.4 12 February 2014; 5 years ago
9,Firefox Sync,Mozilla Foundation,Mozilla Public License,"Standard71.0 / December 3, 2019; 1 day ago[8]Extended Support Release68.3.0 / December 3, 2019; 1 day ago[9]"
10,Standard,"71.0 / December 3, 2019; 1 day ago[8]",,
11,Extended Support Release,"68.3.0 / December 3, 2019; 1 day ago[9]",,
12,Google Chrome,Google,Freeware under Google Chrome Terms of Service,"Windows, macOS, Linux78.0.3904.108 / November 18, 2019; 16 days ago[10]Android78.0.3904.108 / November 18, 2019; 16 days ago[11]iOS78.0.3904.84 / October 30, 2019; 35 days ago[12]"
13,"Windows, macOS, Linux","78.0.3904.108 / November 18, 2019; 16 days ago[10]",,
14,Android,"78.0.3904.108 / November 18, 2019; 16 days ago[11]",,
15,iOS,"78.0.3904.84 / October 30, 2019; 35 days ago[12]",,
16,Pale Moon Sync,M.C. Straver,Mozilla Public License,N/A (part of Pale Moon)
17,,,,
18,Eversync,Nimbus Web Inc,Proprietary,"Firefox: 15.5.1 (July 5, 2018; 16 months ago) [±] Chrome: 17.1.1 (July 5, 2018; 16 months ago) [±] IE: Android: 1.11.1 (May 19, 2017; 2 years ago) [±] iOS: 2.6 (October 4, 2016; 3 years ago) [±] Windows Phone:"
19,Client,Creator,Software license,Latest release
