,Unnamed: 0,8 bit (byte),8 bit (byte).1,16 bit (short integer),16 bit (short integer).1,32 bit,32 bit.1,64 bit (long integer),64 bit (long integer).1,Word size,Word size.1,Arbitrarily precise (bignum)
0,,Signed,Unsigned,Signed,Unsigned,Signed,Unsigned,Signed,Unsigned,Signed,Unsigned,Arbitrarily precise (bignum)
1,Ada[1],range -2**7 .. 2**7 - 1[j],range 0 .. 2**8 - 1[j] or mod 2**8[k],range -2**15 .. 2**15 - 1[j],range 0 .. 2**16 - 1[j] or mod 2**16[k],range -2**31 .. 2**31 - 1[j],range 0 .. 2**32 - 1[j] or mod 2**32[k],range -2**63 .. 2**63 - 1[j],mod 2**64[k],Integer[j],range 0 .. 2**Integer'Size - 1[j] or mod Integer'Size[k],
2,ALGOL 68 (variable-width),short short int[c],,short int[c],,int[c],,long int[c],,int[c],,long long int [a][g]
3,ALGOL 68 (variable-width),short short int[c],,short int[c],,int[c],,long int[c],,bytes & bits,bytes & bits,long long int [a][g]
4,C (C99 fixed-width),int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,intptr_t[c],size_t[c],
5,C++ (C++11 fixed-width),int8_t,uint8_t,int16_t,uint16_t,int32_t,uint32_t,int64_t,uint64_t,intptr_t[c],size_t[c],
6,C (C99 variable-width),signed char,unsigned char,short[c],unsigned short[c],long[c],unsigned long[c],long long[c],unsigned long long[c],int[c],unsigned int[c],
7,C++ (C++11 variable-width),signed char,unsigned char,short[c],unsigned short[c],long[c],unsigned long[c],long long[c],unsigned long long[c],int[c],unsigned int[c],
8,Objective-C (Cocoa),signed char or int8_t,unsigned char or uint8_t,short or int16_t,unsigned short or uint16_t,int or int32_t,unsigned int or uint32_t,long long or int64_t,unsigned long long or uint64_t,NSInteger or long,NSUInteger or unsigned long,
9,C#,sbyte,byte,short,ushort,int,uint,long,ulong,IntPtr,UIntPtr,System.Numerics.BigInteger(.NET 4.0)
10,Java,byte,,short,char[b],int,,long,,,,java.math.BigInteger
11,Go,int8,uint8 or byte,int16,uint16,int32,uint32,int64,uint64,int,uint,big.Int
12,Rust,i8,u8,i16,u16,i32,u32,i64,u64,isize,usize,
13,Swift,Int8,UInt8,Int16,UInt16,Int32,UInt32,Int64,UInt64,Int,UInt,
14,D,byte,ubyte,short,ushort,int,uint,long,ulong,,,BigInt
15,Common Lisp[2],(integer -128 127),(integer 0 255),(integer -32768 32767),(integer 0 65536),(integer -2147483648 2147483647),(integer 0 4294967296),(integer -9223372036854775808 9223372036854775807),(integer 0 18446744073709551616),,,bignum
16,Scheme,,,,,,,,,,,
17,ISLISP[3],,,,,,,,,,,bignum
18,Pascal (FPC),shortint,byte,smallint,word,longint,longword,int64,qword,integer,cardinal,
19,Visual Basic,,Byte,Integer,,Long,,,,,,
20,Visual Basic .NET,SByte,Byte,Short,UShort,Integer,UInteger,Long,ULong,,,System.Numerics.BigInteger(.NET 4.0)
21,FreeBasic,Byte or Integer<8>,UByte or UInteger<8>,Short or Integer<16>,UShort or UInteger<16>,Long or Integer<32>,ULong or UInteger<32>,LongInt or Integer<64>,ULongInt or UInteger<64>,Integer,UInteger,
22,Python 2.x,,,,,,,,,int,,long
23,Python 3.x,,,,,,,,,,,int
24,S-Lang,,,,,,,,,,,
25,Fortran,INTEGER(KIND = n)[f],,INTEGER(KIND = n)[f],,INTEGER(KIND = n)[f],,INTEGER(KIND = n)[f],,,,
26,PHP,,,,,int [m],,int [m],,,,[e]
27,Perl 5,N/A[d],N/A[d],N/A[d],N/A[d],N/A[d],N/A[d],N/A[d],N/A[d],N/A[d],N/A[d],Math::BigInt
28,Raku,int8,uint8,int16,uint16,int32,uint32,int64,uint64,Int,,
29,Ruby,,,,,,,,,Fixnum,,Bignum
30,Erlang[n],,,,,,,,,integer(),,integer()[o]
31,Scala,Byte,,Short,Char[l],Int,,Long,,,,scala.math.BigInt
32,Seed7,,,,,,,integer,,,,bigInteger
33,Smalltalk,,,,,,,,,SmallInteger[i],,LargeInteger[i]
34,Windows PowerShell,,,,,,,,,,,
35,OCaml,,,,,int32,,int64,,int or nativeint,,open Big_int;; big_int
36,F#,sbyte,byte,int16,uint16,int32 or int,uint32,int64,uint64,nativeint,unativeint,bigint
37,Standard ML,,Word8.word,,,Int32.int,Word32.word,Int64.int,Word64.word,int,word,LargeInt.int or IntInf.int
38,Haskell (GHC),«import Int» Int8,«import Word» Word8,«import Int» Int16,«import Word» Word16,«import Int» Int32,«import Word» Word32,«import Int» Int64,«import Word» Word64,Int,«import Word» Word,Integer
39,Eiffel,INTEGER_8,NATURAL_8,INTEGER_16,NATURAL_16,INTEGER_32,NATURAL_32,INTEGER_64,NATURAL_64,INTEGER,NATURAL,
40,COBOL[h],BINARY-CHAR «SIGNED»,BINARY-CHAR UNSIGNED,BINARY-SHORT «SIGNED»,BINARY-SHORT UNSIGNED,BINARY-LONG «SIGNED»,BINARY-LONG UNSIGNED,BINARY-DOUBLE «SIGNED»,BINARY-DOUBLE UNSIGNED,,,
41,Mathematica,,,,,,,,,,,Integer
42,Wolfram Language,,,,,,,,,,,Integer
