,Mail Server,DNSBL,SURBL,Spamtraps,Greylisting,SPF,DKIM,DMARC,Tarpit,Bayesian filters,Regular expressions,Embedded Antivirus,Embedded Antispam
0,agorum core,No,No,No,No,No,No,No,No,No,Yes,No,No
1,Apache James,?,?,?,?,?,?,?,?,Yes,?,Yes ClamAV[29],Optional (Apache SpamAssassin)
2,Axigen,Yes,Yes[30],No,Yes,Yes,Yes,?,No,"Yes, in SpamAssassin",Yes,Yes CYREN,Yes CYREN
3,Citadel,Yes,Yes,No,No,Optional (via SpamAssassin),?,?,No,Optional (via SpamAssassin),No,Optional (ClamAV),Optional (SpamAssassin)
4,Courier Mail Server,Yes,?,Yes,Yes[31],Yes,Yes[32],Yes[33],Yes,Yes[31],Yes[31],Yes Clamav,Yes[31]
5,Dovecot,?,?,?,?,?,?,?,?,?,?,?,?
6,Eudora Internet Mail Server,Yes,?,Yes,Yes,?,?,?,?,?,?,?,?
7,Exim,Yes,Yes,Yes,Yes,Optional at build time,Yes,Optional at build time,Yes,Optional with spamassassin etc.,Yes,Optional any,Optional any
8,FirstClass,Yes,Yes,No,?,Yes,?,?,Yes,Yes,Yes,Yes Symantec,?
9,Gordano Messaging Suite,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,"Yes CYREN, Authentium",Yes CYREN
10,GroupWise,Yes,?,?,?,?,?,?,?,?,?,?,?
11,Halon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional (via SpamAssassin),Yes,"Optional (Sophos, ClamAV)","Optional (CYREN, SpamAssassin)"
12,Haraka,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Optional with spamassassin etc.,Yes,"Optional ClamAV, AVG, any via plugins","Optional SpamAssassin, MessageSniffer"
13,hMailServer,Yes,Yes,No,Yes,Yes,Yes,?,No,No,Yes,Yes ClamAV,Yes SpamAssassin
14,IBM Notes,Yes[34],?,?,?,No[35],?,?,?,?,?,?,?
15,IceWarp Mail Server,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes,Yes
16,Ipswitch IMail Server,Yes,Yes,No,No,Yes,Yes[36],Yes[37],No,Yes,Yes,"Yes Symantec, BitDefender",Yes CYREN
17,Kolab,Yes,?,?,Yes,Yes,?,?,?,Optional with spamassassin etc.,Yes,Optional (via content filter interface),Optional (via content filter interface)
18,Mailsite,Yes,Yes,Yes,Yes,Yes,?,?,No,Yes,Yes,Yes,Yes
19,Mailtraq,?,?,?,?,?,?,?,?,?,?,?,?
20,Mercury Mail Transport System,Yes,?,?,Yes (GreyWall extension),?,?,?,?,Yes (SpamHalter extension),?,Yes (ClamWall extension),?
21,Microsoft Exchange Server,Yes (2003 & later),?,?,Yes,Yes,?,?,Yes (2003 & later),?,?,?,?
22,NetMail,?,?,?,?,?,?,?,?,?,?,?,?
23,OpenSMTPD,?,?,?,?,Yes,Yes[38],?,?,?,?,?,?
24,Oracle Communications Messaging Server,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Optional with spamassassin etc.,Yes,Optional any,Optional any
25,Postfix,Yes,?,?,Yes,Yes,Optional[39],Optional[40],?,Optional with spamassassin etc.,Yes,Optional (via content filter interface),Optional (via content filter interface)
26,qmail,?,?,?,Yes,?,?,?,?,No,?,No,No
27,Scalix,Yes,Yes (via Scalix AntiSpam powered by Cyren or SpamAssassin),Yes (via Scalix AntiSpam powered by Cyren or SpamAssassin),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (via Scalix ZeroHour AntiVirus powered by Cyren or ClamAV),Yes
28,Sendmail,Yes,Yes (via milter/SA),?,Yes,Optional,Optional[39],Optional[40],?,Optional with spamassassin etc.,?,Yes ClamAV,Yes SpamAssassin
29,SparkEngine,?,?,?,?,?,?,?,?,?,?,?,?
30,UW IMAP,?,?,?,?,?,?,?,?,?,?,?,?
31,WinGate,?,?,?,?,?,?,?,?,?,?,?,?
32,Zarafa,External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11],External[11]
33,Zimbra,Yes,Yes (via SpamAssassin),?,Yes (via Cluebringer Policy Daemon),Yes,Yes,?,Yes,Yes,Yes (partially),"Yes (via ClamAV, optionally any via Amavisd)",Yes (via SpamAssassin)
34,Mail Server,DNSBL,SURBL,Spamtraps,Greylisting,SPF,DKIM,DMARC,Tarpit,Bayesian filters,Regular expressions,Embedded Antivirus,Embedded Antispam
