,Client,Secure POP3,Secure POP3.1,Secure IMAP4,Secure IMAP4.1,Secure SMTP,Secure SMTP.1,Secure NNTP,Secure NNTP.1,Secure LDAP,Secure LDAP.1,SNI,OCSP [Note 1],CRL [Note 2]
0,Client,SSL,TLS [Note 3],SSL,TLS [Note 3],SSL,TLS [Note 4],SSL,TLS,SSL,TLS,SNI,OCSP [Note 1],CRL [Note 2]
1,Alpine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,?,?
2,Apple Mail,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?
3,Becky! Internet Mail,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?
4,Citadel,?,?,?,?,?,?,?,?,?,?,?,?,?
5,Claws Mail,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes
6,Cone,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?,No,No
7,Courier,No,No,No,No,No,No,No,No,No,No,No,No,No
8,Elm,?,?,?,?,?,?,?,?,?,?,?,?,?
9,eM Client,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,?,No,Yes
10,EmailTray,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,?,No,No
11,Eudora,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?,?,?
12,Eureka Email,?,?,?,?,?,?,?,?,?,?,?,?,?
13,Evolution,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No,No
14,Gnus,?,?,Yes,Yes,?,?,?,?,?,?,?,?,?
15,GroupWise,?,?,?,?,?,?,?,?,?,?,?,?,?
16,Hiri,No,No,No,No,No,No,No,No,No,No,No,No,No
17,i.Scribe / InScribe,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,?,No,No
18,IBM Lotus Notes,Yes,Yes,Yes,?,Yes,Yes,Yes,?,Yes,?,?,Yes,Yes
19,KMail,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,?,?,?,?
20,Mailpile,?,Yes,?,Yes,?,?,?,?,?,?,?,?,?
21,Microsoft Entourage,Yes,?,Yes,?,Yes,?,Yes,?,Yes,?,?,?,?
22,Microsoft Office Outlook,Yes,No,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?
23,Mozilla Mail & Newsgroups,?,?,?,?,?,?,?,?,?,?,?,?,?
24,Mozilla Thunderbird,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
25,Mulberry,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?,?,?
26,Mutt,Yes,Yes,Yes,Yes,1.5.15,1.5.15,?,?,?,?,?,?,?
27,Netscape Messenger,?,?,?,?,?,?,?,?,?,?,?,?,?
28,Netscape Messenger 9,?,?,?,?,?,?,?,?,?,?,?,?,?
29,nmh / MH,?,?,?,?,?,?,?,?,?,?,?,?,?
30,Opera Mail,Yes,Partial [Note 5],Yes,Partial [Note 5],Yes,Partial [Note 5],Yes,No,,,?,Yes,Yes
31,Outlook Express,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,?,?
32,Pegasus Mail,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?,?,?,?
33,Pine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,?,?
34,Pocomail,?,?,?,?,?,?,?,?,?,?,?,?,?
35,RoundCube,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?,?,?
36,SeaMonkey Mail & Newsgroups,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
37,Spicebird,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
38,SquirrelMail,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?,?,?
39,Sylpheed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?
40,The Bat!,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes [Note 6],Yes [Note 6]
41,Trojitá,?,?,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes (system),Yes (system)
42,Turnpike,?,?,?,?,?,?,?,?,?,?,?,?,?
43,Windows Live Mail,Yes,No,Yes,No,Yes,No,?,?,?,?,?,?,?
44,Windows Mail,Yes,No,Yes,?,Yes,?,?,?,?,?,?,?,?
45,YAM,Yes,Yes,No,No,?,?,?,?,?,?,?,?,?
46,Zimbra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?
47,Client,Secure POP3,Secure POP3,Secure IMAP4,Secure IMAP4,Secure SMTP,Secure SMTP,Secure NNTP,Secure NNTP,Secure LDAP,Secure LDAP,SNI,OCSP [Note 1],CRL [Note 2]
48,Client,SSL,TLS [Note 3],SSL,TLS [Note 3],SSL,TLS [Note 4],SSL,TLS,SSL,TLS,SNI,OCSP [Note 1],CRL [Note 2]
