,Manager,Copy Music,Copy Videos,Copy Smart Playlists,Copy Album Artwork,Extract DRM-Free Music,Extract DRM-Free Videos,Extract Playcounts,Extract Playlists,Copy Content to iPod
0,Amarok,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,No
1,Banshee,Yes,?,Yes,Yes,Yes,No,Yes,?,Yes
2,Clementine,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
3,EphPod,Yes,?,Yes,No,Yes,No,?,?,?
4,gtkpod,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,iRip,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
6,iTunes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
7,JRiver Media Center,Yes,?,Yes,Yes,No,Yes,?,?,?
8,MediaMonkey,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
9,Rhythmbox,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
10,Senuti,Yes,Yes,No,No,Yes,Yes,Yes,?,?
11,Winamp native,Yes,Yes,No,Yes,Yes,Yes,?,Yes,Yes
12,XPlay,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
13,Manager,Copy Music,Copy Videos,Copy Smart Playlists,Copy Album Artwork,Extract DRM-Free Music,Extract DRM-Free Videos,Extract Playcounts,Extract Playlists,Copy Content to iPod
