,Family,Country,Manufac.,Payload (kg),Payload (kg).1,Payload (kg).2,"Cost (US$, millions)",Launches reaching...,Launches reaching....1,Launches reaching....2,Launches reaching....3,Status,Date of flight,Date of flight.1,Notes,Refs
0,Family,Country,Manufac.,LEO,GTO,TLI,"Cost (US$, millions)",Total,Space,Any orbit,Target orbit,Status,First,Last,Notes,Refs
1,Angara 1.2,Russia,Khrunichev,3800,--,--,25,1,1,0,,Active,2014,,"As of 2017, only launch was suborbital[1]",[2][3][4]
2,Angara A5,Russia,Khrunichev,"14,600–​35,000","3,600–​12,500",--,--,1,1,1,1,Active,2014,,,[2][5]
3,Antares,USA,Orbital ATK,6500,--,--,80[citation needed],7,6,6,6,Active,2013,,Cygnus launcher,[6][7][8]
4,Ariane 1-2-3,Europe,Aérospatiale,,2650,,--,28,,,,Retired,1979,1989,,[9][10]
5,Ariane 4,Europe,Aérospatiale,7000,4720,,--,116,,,,Retired,1988,2003,"Var.: 40, 42P, 42L, 44P, 44L, 44LP",[10]
6,Ariane 5,Europe,Airbus,21000,"10,735[11]",,165–​220,76,74,74,72,Active,1996,,"Var.: G, G+, GS, ECA, ES.",[12][13][14]
7,Ariane 6,Europe,Airbus Safran,21500,11500,,115,0,,,,Devel.,2020,,"Var.: Ariane 62, Ariane 64.",
8,ASLV,India,ISRO,150,--,--,--,4,,,,Retired,1987,1994,,[15]
9,Athena I & II,USA,Lockheed ATK,2065,--,295,--,7,,,,Retired,1995,2001,Launch Lunar Prospector.[16],[17]
10,Atlas A-B-C-D-E-F-GAtlas I,USA,Lockheed,5900,2340,--,--,514,,,,Retired,1957,1997,Launch Mercury.Atlas or Centaur upper stage.,[18][19][20][21]
11,Atlas II,USA,Lockheed,8618,3833,--,--,63,63,63,,Retired,1991,2004,,[22][23][24]
12,Atlas III,USA,Lockheed,10759,4609,--,--,6,6,6,,Retired,2003,2005,"Var.: IIIA, IIIB",[25][26]
13,Atlas V,USA,ULA,18850,8900,2807,109–​153,74,74,74,73,Active,2002,,Launched Juno & New Horizons,[27][28]
14,Black Arrow,UK,RAE Westland,132,--,--,--,4,3,,,Retired,1969,1971,,[29]
15,Delta,USA,Douglas,3848,1312,--,--,186,,,,Retired,1960,1989,"Launched Pioneer & Explorer probes. Var. A, B, C, D, E, G, J, L, M, N, 300, 900, 1X00, 4X00, 2X00, 3X00, 5X00",[30][30]
16,Delta II,USA,ULA,6000,2171,1508,51,153,152,152,151,Retired,1989,2018,"Launched Mars probes MGS to PhoenixVar.: 6000, 7000, and Heavy.",[30][31][32]
