,Afrikaans,Dutch,English
0,Verstaan jy my?,Versta jij mij? / Begrijp je me?[132],Do you understand me?
1,Ek verstaan dit,Ik versta dit / Ik begrijp het[132],I understand it
2,Wat is jou naam?,Hoe heet je? Wat is jouw naam?,What is your name?
3,Wat maak jy?,Wat ben je aan het doen?Compare Dutch Wat maak jij? (What are you making?),What are you doing?
4,Dit maak my seer,Het doet me pijn,It hurts me
5,Ek hou van haar,Ik vind haar leuk,I like her
6,Ek is lief vir jou,Ik hou van jou Compare Dutch Ik ben lief voor jou (I am sweet to you),I love you
7,Ek het jou lief,Ik heb jou lief / Ik hou van jou,I love you
8,Is jy honger?,Heb je honger? / Heb jij honger?,Are you hungry?
9,Dié boek is vir jou,Dit boek is voor jou,This book is for you
10,Ek het al geëet,Ik heb al gegeten,I have already eaten
11,Kom jy saam met ons?,Kom je met ons mee?,Are you coming with us?
12,Stem jy saam?,Ben je het daarmee eens?Stem jij daarmee in?,Do you agree?
13,Stem jy [daartoe] in?,Stem jij daarmee in? / Ga je daarmee akkoord?,Do you agree [to it]?
14,Oop vanaand,Open vanavond,Open tonight
15,Hulle woon hier,Ze wonen hier Dialectal: Hullie wonen hier,They live here
16,Kan ons die middestad besoek?,Kunnen we de binnenstad bezoeken? Belgium Dutch: Kunnen we de middenstad bezoeken? [133],Can we visit the city centre?
17,Ek is halfpad daar,Ik ben halverwege,I am halfway there
18,Hierdie vrug proe/smaak sleg,Die vrucht hier smaakt slecht,This fruit tastes bad
19,Het jy dat gesê?,Heb je dat gezegd? Zei je dat?,Did you say that?
20,Hy het op die lughawe aangekom,Hij is op de luchthaven aangekomen,He has arrived at the airport
21,Moenie dit vergeet nie!,Vergeet hem niet!,Don't forget it!
22,"As dit reën, sal dié sambreel jou beskerm","Als het regent, zal deze paraplu jou beschermen[134] *","If it rains, this umbrella will protect you"
23,’n Lemoen is ’n oranjekleurige vrug,Een sinaasappel is een oranjekleurige vrucht,An orange is an orange-coloured fruit
24,’n Lemmetjie is ’n klein groen sitrusvrug,Een limoen is een kleine groene citrusvrucht,A lime is a small green citrus fruit
25,Ons hou daarvan om te braai,"Wij houden ervan om te barbecueën Compare Dutch: braden (to roast), Wij houden ervan om te braaien (braaien is a recent loanword from Afrikaans) **",We love to barbecue
26,Ek kan dit nie glo nie,Ik kan dit niet geloven,I cannot believe it
