,State,Highest court,High court seats,High court term,High court judicial placement method,Mandatory retirement age[note 9]
0,Alabama,Supreme Court of Alabama,9,6 years,Partisan election,
1,Alaska,Alaska Supreme Court,5,10 years,Missouri Plan,
2,Arizona,Arizona Supreme Court,7,6 years,Missouri Plan,70
3,Arkansas,Arkansas Supreme Court,7,8 years,Non-partisan election,
4,California,Supreme Court of California,7,12 years,Modified Missouri Plan,
5,Colorado,Colorado Supreme Court,7,10 years,Missouri Plan,
6,Connecticut,Connecticut Supreme Court,7,8 years[10],Election by the state legislature,70
7,Delaware,Delaware Supreme Court,5,12 years,Appointment by governor,
8,Florida,Florida Supreme Court,7,6 years,Modified Missouri Plan,70 (or end of current term)
9,Georgia,Supreme Court of Georgia,7,6 years,Non-partisan election,
10,Hawaii,Supreme Court of Hawaii,5,10 years,Appointment by the Governor,70
11,Idaho,Idaho Supreme Court,5,6 years,Non-partisan election,
12,Illinois,Supreme Court of Illinois,7,10 years,Partisan election,
13,Indiana,Supreme Court of Indiana,5,10 years[note 10],Missouri Plan,75[note 11]
14,Iowa,Iowa Supreme Court,7,8 years,Missouri Plan,72
15,Kansas,Kansas Supreme Court,7,6 years,Missouri Plan,70 (or end of current term)
16,Kentucky,Kentucky Supreme Court,7,8 years,Non-partisan election,
17,Louisiana,Supreme Court of Louisiana,7,10 years,Partisan election,
18,Maine,Maine Supreme Judicial Court,7,7 years,Appointment by the Governor,
19,Maryland,Maryland Court of Appeals,7,10 years,Appointment by the Governor,70
20,Massachusetts,Massachusetts Supreme Judicial Court,7,Lifetime,Appointment by the Governor,70
21,Michigan,Michigan Supreme Court,7,8 years,Non-partisan election[note 12],Must be under 70 at time of election
22,Minnesota,Minnesota Supreme Court,7,6 years,Non-partisan election,70
23,Mississippi,Supreme Court of Mississippi,9,8 years,Non-partisan election,
24,Missouri,Supreme Court of Missouri,7,12 years,Missouri Plan,
25,Montana,Montana Supreme Court,7,8 years,Non-partisan election,
26,Nebraska,Nebraska Supreme Court,7,6 years,Missouri Plan,
27,Nevada,Supreme Court of Nevada,7,6 years,Non-partisan election,
28,New Hampshire,New Hampshire Supreme Court,5,Lifetime,Appointment by Governor,70
29,New Jersey,New Jersey Supreme Court,7,7 years[11],Appointment by Governor,70
30,New Mexico,New Mexico Supreme Court,5,8 years,Partisan election/Retention election,
31,New York,New York Court of Appeals,7,14 years,Appointed by the Governor,70 (at end of calendar year)
32,North Carolina,North Carolina Supreme Court,7,8 years,Non-partisan election,
33,North Dakota,North Dakota Supreme Court,5,10 years,Non-partisan election,
34,Ohio,Ohio Supreme Court,7,6 years,Non-partisan election,70 (at end of term)
35,Oklahoma,Oklahoma Supreme CourtOklahoma Court of Criminal Appeals,Supreme Court: 9Court of Criminal Appeals: 5,6 years (both),Missouri Plan,
36,Oregon,Oregon Supreme Court,7,6 years,Non-partisan election,75
37,Pennsylvania,Supreme Court of Pennsylvania,7,10 years,Partisan election,78
38,Puerto Rico,Supreme Court of Puerto Rico,9,Lifetime,Appointment by the Governor with confirmation by the Senate,70
39,Rhode Island,Rhode Island Supreme Court,5,Lifetime[12],Missouri Plan,None[12]
40,South Carolina,South Carolina Supreme Court,5,10 years,Election by State Legislature,72
41,South Dakota,South Dakota Supreme Court,5,8 years,Non-partisan election,
42,Tennessee,Tennessee Supreme Court,5,8 years,Tennessee Plan (Modified Missouri Plan),
43,Texas,Texas Supreme CourtTexas Court of Criminal Appeals,9 (both),6 years (both),Partisan election,"75 (may finish term or 4 years of term, whichever is shorter)"
44,Utah,Utah Supreme Court,5,4 years,Missouri Plan,
45,Vermont,Vermont Supreme Court,5,6 years,Election by State Legislature,
46,Virginia,Supreme Court of Virginia,7,12 years,Election by State Legislature,70[13]
47,Washington,Washington Supreme Court,9,6 years,Non-partisan election,75
48,West Virginia,Supreme Court of Appeals of West Virginia,5,12 years,Partisan election,
49,Wisconsin,Wisconsin Supreme Court,7,10 years,Non-partisan election,
50,Wyoming,Wyoming Supreme Court,5,8 years,Missouri Plan,
