,English,Malaysian,Indonesian,Unnamed: 3
0,abolition,pemansuhan,"abolisi, penghapusan",
1,abortion,pengguguran,"aborsi, pengguguran (of a fetus)",
2,abroad,luar negara,luar negeri,
3,accessibility,"kebolehcapaian, ketercapaian","keterjangkauan, ketercapaian, aksesibilitas",
4,"account (bank, bills)",akaun,"rekening (from Dutch – only used in banks), akun (used for all meanings of account apart from bank account)",
5,accountability,"kebertanggungjawapan, akauntabliti","akuntabilitas, pertanggungjawaban",
6,accountant,akauntan,akuntan,
7,accounting,perakaunan,akuntansi,
8,accurate,tepat,"tepat, akurat influenced by Dutch accuraat",
9,administration,pentadbiran,administrasi,
10,after,"selepas, setelah","setelah (also used in Malay to indicate consecutive actions), sesudah, selepas",
11,afternoon,petang,"sore, petang",
12,agent,"ejen, agen",agen,
13,air force,tentera udara,angkatan udara,
14,airport,lapangan terbang ('airfield' in Indonesian; similar to Dutch vliegveld),"bandar udara loan translation of the English term, commonly abbreviated as bandara",
15,Alexandria,Iskandariah,"Alexandria, Iskandariyah, a city in Egypt",
16,Algeria,Algeria,Aljazair from Arabic al-Jazā'ir,
17,alliance,"perikatan, persekutuan, pakatan","aliansi (influenced by Dutch alliantie), persekutuan",
18,alloy,"pancalogam, aloi","logam paduan, logam campuran, aloi",
19,apartment,"pangsapuri, rumah pangsa, rumah kondo (only for 'condominium')","apartemen (influenced by Dutch appartement), rumah susun (rusun) (public housing for poor families), kondominium",
20,application (software),"perisian penggunaan, aplikasi","perangkat lunak, aplikasi",
21,architecture,seni bina,arsitektur (influenced by Dutch architectuur),
22,archive,arkib,arsip from Dutch archief,
23,area,kawasan,"daerah, area, kawasan",
24,armed forces,tentera,"tentara, angkatan bersenjata",
25,army,tentera darat,angkatan darat,
26,assembly,"majlis, perhimpunan (from the root verb 'himpun' meaning 'to gather/assemble')","majelis, himpunan, perhimpunan",
27,assets,aset,"harta, aset, aktiva (from Dutch activa)",
28,association,persatuan,"asosiasi (from Dutch associatie), persatuan, perkumpulan",
29,assumption,"andaian, anggapan","asumsi, anggapan, dugaan",
30,astronaut,angkasawan,"astronaut, antariksawan",
31,Athens,Athens,Athena (influenced by Dutch Athene or from native Greek Athina),
32,athletics (sport),olahraga ('sport' in Indonesian),atletik,
33,auction,lelong from Portuguese leilão,lelang also from Portuguese leilão,
34,August,Ogos,Agustus from Dutch augustus,
35,auntie,"makcik (also used in Riau Malay dialect in Indonesia), emak saudara, ibu saudara","bibi, tante from Dutch",
36,autobiography,autobiografi,"autobiografi, otobiografi is a nonstandard spelling",
37,automatic,automatik (formerly otomatik),otomatis (derived from Dutch pronunciation of automatisch),
38,autonomy,autonomi,otonomi (self-governing),
39,awkward,"janggal, kekok (of gesture)","aneh, janggal, canggung, kikuk (of gesture)",
40,backpack,"beg sandang (lit. ""sling bag"")","ransel (from Dutch), tas punggung",
41,backstage (of a theater or studio),belakang tabir,"belakang layar (lit. ""back screen/behind the screen""), belakang panggung",
42,bag,beg,tas from Dutch,
43,baseband,jalur asas,pita dasar,
44,basin (wash basin/sink),besen,"wastafel (from Dutch, lit. washing table)",
45,basket (ball),keranjang,bola basket,
46,basket (in general),bakul,keranjang,
47,because,"kerana, sebab","karena, sebab",
48,bed,katil,"matras influenced by Dutch matras, tempat tidur, ranjang, kasur",
49,Belgium,Belgium,Belgia influenced by Dutch België,
50,Belgrade,Belgrade,Beograd,
51,belt (of a seat),tali keledar,"sabuk, ikat pinggang",
52,bicycle,basikal,sepeda (influenced by French velocipede),
53,bill (legislation),rang undang-undang,"rancangan undang-undang, legislasi",
54,billboard,papan iklan,"baliho supposedly from English ballyhoo (in English it means extravagant publicity or fuss) papan iklan, papan reklame from Dutch reclame (advertisement)",
55,billion,"seribu juta, bilion","miliar (from Dutch miljard), milyar (informal but frequently used)",
56,binary,perduaan,biner (from Dutch binaire),
57,bishop,"biskop, bisyop",uskup,
58,board (company),lembaga 'agency' in Indonesian,dewan,
59,border,sempadan,perbatasan,
60,"bonnet, hood (of a car)","bonet, bumbung, hud",kap from Dutch,
61,"boot, trunk (of a car)",but,bagasi,
62,Britain,Britain,"Inggris, Britania (influenced by Dutch Brittannië but rarely used)",
63,Brussels,Brussels,Brussel (influenced by Dutch),
64,Bucharest,Bucharest,Bukarest,
65,bucket; pail,baldi,ember from Dutch emmer,
66,bus,bas,"bus, bis nonstandard, influenced by Dutch pronunciation",
