,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,Housing Data Set,Median home values of Boston with associated home and neighborhood attributes.,None.,506,Text,Regression,1993,[447],D. Harrison et al.
1,The Getty Vocabularies,"structured terminology for art and other material culture, archival materials, visual surrogates, and bibliographic materials.",None.,large,Text,Classification,2015,[448],Getty Center
2,Yahoo! Front Page Today Module User Click Log,User click log for news articles displayed in the Featured Tab of the Today Module on Yahoo! Front Page.,Conjoint analysis with a bilinear model.,"45,811,883 user visits",Text,"Regression, clustering",2009,[449][450],Chu et al.
3,British Oceanographic Data Centre,"Biological, chemical, physical and geophysical data for oceans. 22K variables tracked.",Various.,"22K variables, many instances",Text,"Regression, clustering",2015,[451],British Oceanographic Data Centre
4,Congressional Voting Records Dataset,Voting data for all USA representatives on 16 issues.,"Beyond the raw voting data, various other features are provided.",435,Text,Classification,1987,[452],J. Schlimmer
5,Entree Chicago Recommendation Dataset,Record of user interactions with Entree Chicago recommendation system.,Details of each users usage of the app are recorded in detail.,50672,Text,"Regression, recommendation",2000,[453],R. Burke
6,Insurance Company Benchmark (COIL 2000),Information on customers of an insurance company.,Many features of each customer and the services they use.,9000,Text,"Regression, classification",2000,[454][455],P. van der Putten
7,Nursery Dataset,Data from applicants to nursery schools.,Data about applicant's family and various other factors included.,12960,Text,Classification,1997,[456][457],V. Rajkovic et al.
8,University Dataset,Data describing attributed of a large number of universities.,None.,285,Text,"Clustering, classification",1988,[458],S. Sounders et al.
9,Blood Transfusion Service Center Dataset,"Data from blood transfusion service center. Gives data on donors return rate, frequency, etc.",None.,748,Text,Classification,2008,[459][460],I. Yeh
10,Record Linkage Comparison Patterns Dataset,Large dataset of records. Task is to link relevant records together.,Blocking procedure applied to select only certain record pairs.,5749132,Text,Classification,2011,[461][462],University of Mainz
11,Nomao Dataset,Nomao collects data about places from many different sources. Task is to detect items that describe the same place.,Duplicates labeled.,34465,Text,Classification,2012,[463][464],Nomao Labs
12,Movie Dataset,"Data for 10,000 movies.",Several features for each movie are given.,10000,Text,"Clustering, classification",1999,[465],G. Wiederhold
13,Open University Learning Analytics Dataset,Information about students and their interactions with a virtual learning environment.,None.,"~ 30,000",Text,"Classification, clustering, regression",2015,[466][467],J. Kuzilek et al.
14,Mobile phone records,Telecommunications activity and interactions,Aggregation per geographical grid cells and every 15 minutes.,large,Text,"Classification, Clustering, Regression",2015,[468],G. Barlacchi et al.
