,Object orientation,Java,C#
0,Classes,mandatory,mandatory
1,Interfaces,Yes,Yes
2,Abstract classes,Yes,Yes
3,Member accessibility levels,"Yes; public, package, protected, private","Yes; public, internal, protected, private, protected internal"
4,Class-level inner classes,Yes;static inner classes are class level,Yes; all inner classes are class level
5,Instance-level inner classes,Yes,No
6,Statement-level (local) anonymous classes,Yes,Yes; but without methods
7,Partial classes,No; Third-party library[46],Yes
8,Implicit (inferred) anonymous classes,No,Yes[47]
9,Deprecation/obsolescence,Yes,Yes
10,Overload versioning,Some,Yes
11,Enums can implement interfaces,Yes,No
12,Properties,"No, but see JavaBeans spec",Yes
13,Events,Provided by standard libraries,Built-in language feature
14,Operator overloading,No,Yes
15,Indexers,No,Yes
16,Implicit conversions,No; but see autoboxing,Yes
17,Explicit conversions,Yes,Yes
