,Aspect,Esperanto,Ido,Example
0,Alphabet,"uses diacritics(ĉ, ĝ, ĥ, ĵ, ŝ, ŭ)and digraphs","uses digraphs(ch, sh, qu)","Translation of ""chamber"", ""shoe"", and ""square"":ĉambro / ŝuo / kvadrato (Esp.)chambro / shuo / quadrato (Ido)"
1,Gender,masculine by default;feminine optional,gender-neutral by default;masculine and feminine optional,"Gender of ""elephant"":elefanto (default) / elefantino (fem.) (Esp.)elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)"
2,Antonyms,formed by mal- prefix,come fromnatural vocabulary,"Translation of ""warm"" and ""cold"":varma / malvarma (Esp.)varma / kolda (Ido)"
3,Infinitives,-i suffix,-ar suffix,"Translation of ""to go"":iri (Esp.)irar (Ido)"
4,Imperative,-u suffix,-ez suffix,"Translation of ""go!"":iru! (Esp.)irez! (Ido)"
5,Plural noun,-oj suffix(agglutinative),-i suffix(synthetic),"Plural of domo (""house""):domoj (Esp.)domi (Ido)"
6,Adjectives,Agree with nouns,Not declined,"Translation of ""big dogs"":grandaj hundoj (Esp.)granda hundi (Ido)"
7,Accusativedeclination,Mandatory,Only when objectprecedes subject,"Translation of ""I drink milk"" / ""I milk drink"":""mi trinkas lakton"" / ""mi lakton trinkas"" (Esp.)""me drinkas lakto"" / ""me lakton drinkas"" (Ido)"
8,Propernouns,Sometimes rendered,Never rendered,"Translation of ""Europe"":Eŭropo (Esp.)Europa (Ido)"
9,No. ofspeakers,"c. 100,000–2,000,000","c. 100–1,000",
