,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,Artificial Characters Dataset,Artificially generated data describing the structure of 10 capital English letters.,Coordinates of lines drawn given as integers. Various other features.,6000,Text,"Handwriting recognition, classification",1992,[84],H. Guvenir et al.
1,Letter Dataset,Upper case printed letters.,17 features are extracted from all images.,20000,Text,"OCR, classification",1991,[85][86],D. Slate et al.
2,Character Trajectories Dataset,Labeled samples of pen tip trajectories for people writing simple characters.,3-dimensional pen tip velocity trajectory matrix for each sample,2858,Text,"Handwriting recognition, classification",2008,[87][88],B. Williams
3,Chars74K Dataset,Character recognition in natural images of symbols used in both English and Kannada,,74107,,"Character recognition, handwriting recognition, OCR, classification",2009,[89],T. de Campos
4,UJI Pen Characters Dataset,Isolated handwritten characters,Coordinates of pen position as characters were written given.,11640,Text,"Handwriting recognition, classification",2009,[90][91],F. Prat et al.
5,Gisette Dataset,Handwriting samples from the often-confused 4 and 9 characters.,"Features extracted from images, split into train/test, handwriting images size-normalized.",13500,"Images, text","Handwriting recognition, classification",2003,[92],Yann LeCun et al.
6,Omniglot dataset,1623 different handwritten characters from 50 different alphabetss.,Hand-labeled.,38300,"Images, text, strokes","Classification, one-shot learning",2015,[93][94],American Association for the Advancement of Science
7,MNIST database,Database of handwritten digits.,Hand-labeled.,60000,"Images, text",Classification,1998,[95][96],National Institute of Standards and Technology
8,Optical Recognition of Handwritten Digits Dataset,Normalized bitmaps of handwritten data.,Size normalized and mapped to bitmaps.,5620,"Images, text","Handwriting recognition, classification",1998,[97],E. Alpaydin et al.
9,Pen-Based Recognition of Handwritten Digits Dataset,Handwritten digits on electronic pen-tablet.,Feature vectors extracted to be uniformly spaced.,10992,"Images, text","Handwriting recognition, classification",1998,[98][99],E. Alpaydin et al.
10,Semeion Handwritten Digit Dataset,Handwritten digits from 80 people.,All handwritten digits have been normalized for size and mapped to the same grid.,1593,"Images, text","Handwriting recognition, classification",2008,[100],T. Srl
11,HASYv2,Handwritten mathematical symbols,All symbols are centered and of size 32px x 32px.,168233,"Images, text",Classification,2017,[101],Martin Thoma
12,Noisy Handwritten Bangla Dataset,"Includes Handwritten Numeral Dataset (10 classes) and Basic Character Dataset (50 classes), each dataset has three types of noise: white gaussian, motion blur, and reduced contrast.",All images are centered and of size 32x32.,"Numeral Dataset: 23330, Character Dataset: 76000","Images, text","Handwriting recognition, classification",2017,[102],M. Karki et al.
