,Model,Micro-architecture,Launch,Chips,Core clock(MHz),Shaders,Shaders.1,Shaders.2,Memory,Memory.1,Memory.2,Memory.3,Memory.4,Processing power (GFLOPS)[e],Processing power (GFLOPS)[e].1,Processing power (GFLOPS)[e].2,CUDAcomputeability[f],TDP(watts),"Notes, form_factor"
0,Model,Micro-architecture,Launch,Chips,Core clock(MHz),Cuda cores(total),Base clock (MHz),Max boostclock (MHz)[g],Bus type,Bus width(bit),Size(GB),Clock(MT/s),Bandwidth(GB/s),Single precision(MAD+MUL),Single precision(MAD or FMA),Double precision(FMA),CUDAcomputeability[f],TDP(watts),"Notes, form_factor"
1,Units,,,,,,MHz,MHz,,,,,,,,,,W,
2,C870 GPU Computing Module[h],Tesla,"May 2, 2007",1× G80,600,128,1350,,GDDR3,384,1.5,1600,76.8,518.4,345.6,No,1.0,170.9,"Internal PCIe GPU (full-height, dual-slot)"
3,D870 Deskside Computer[h],Tesla,"May 2, 2007",2× G80,600,256,1350,,GDDR3,2× 384,2× 1.5,1600,2× 76.8,1036.8,691.2,No,1.0,520,Deskside or 3U rack-mount external GPUs
4,S870 GPU Computing Server[h],Tesla,"May 2, 2007",4× G80,600,512,1350,,GDDR3,4× 384,4× 1.5,1600,4× 76.8,2073.6,1382.4,No,1.0,,"1U rack-mount external GPUs, connect via 2× PCIe (×16)"
5,C1060 GPU Computing Module[i],Tesla,"April 9, 2009",1× GT200,602,240,1296[174],,GDDR3,512,4,1600,102.4,933.12,622.08,77.76,1.3,187.8,"Internal PCIe GPU (full-height, dual-slot)"
6,"S1070 GPU Computing Server ""400 configuration""[i]",Tesla,"June 1, 2008",4× GT200,602,960,1296,,GDDR3,4× 512,4× 4,1538.4,4× 98.5,3732.5,2488.3,311.0,1.3,800,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
7,"S1070 GPU Computing Server ""500 configuration""[i]",Tesla,,4× GT200,602,960,1440,,GDDR3,4× 512,4× 4,1538.4,4× 98.5,4147.2,2764.8,345.6,1.3,800,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
8,S1075 GPU Computing Server[i][175],Tesla,"June 1, 2008",4× GT200,602,960,1440,,GDDR3,4× 512,4× 4,1538.4,4× 98.5,4147.2,2764.8,345.6,1.3,,"1U rack-mount external GPUs, connect via 1× PCIe (×8 or ×16)"
9,Quadro Plex 2200 D2 Visual Computing System[j],Tesla,,2× GT200GL,648,480,1296,,GDDR3,2× 512,2× 4,1600,2× 102.4,1866.2,1244.2,155.5,1.3,,Deskside or 3U rack-mount external GPUs with 4 dual-link DVI outputs
10,Quadro Plex 2200 S4 Visual Computing System[j],Tesla,,4× GT200GL,648,960,1296,,GDDR3,4× 512,4× 4,1600,4× 102.4,3732.5,2488.3,311.0,1.3,1200,"1U rack-mount external GPUs, connect via 2× PCIe (×8 or ×16)"
11,C2050 GPU Computing Module[176],Fermi,"July 25, 2011",1× GF100,575,448,1150,,GDDR5,384,3[k],3000,144,No,1030.4,515.2,2.0,247,"Internal PCIe GPU (full-height, dual-slot)"
12,M2050 GPU Computing Module[177],Fermi,"July 25, 2011",1× GF100,575,448,1150,,GDDR5,384,3[k],3092,148.4,No,1030.4,515.2,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
13,C2070 GPU Computing Module[176],Fermi,"July 25, 2011",1× GF100,575,448,1150,,GDDR5,384,6[k],3000,144,No,1030.4,515.2,2.0,247,"Internal PCIe GPU (full-height, dual-slot)"
14,C2075 GPU Computing Module[178],Fermi,"July 25, 2011",1× GF100,575,448,1150,,GDDR5,384,6[k],3000,144,No,1030.4,515.2,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
15,M2070/M2070Q GPU Computing Module[179],Fermi,"July 25, 2011",1× GF100,575,448,1150,,GDDR5,384,6[k],3132,150.336,No,1030.4,515.2,2.0,225,"Internal PCIe GPU (full-height, dual-slot)"
