,Unnamed: 0,English,Esperanto,Novial
0,Infinitive,(to) love,am-i,ama
1,Simple present,love(s),am-as,ama
2,Future,will (shall) love,am-os,sal ama
3,Simple past,loved,am-is,did ama (ama-d)
4,Present perfect,have (has) loved,est-as am-int-a(j),ha ama
5,Pluperfect,had loved,est-is am-int-a(j),ha-d ama
6,Future perfect,will (shall) have loved,est-os am-int-a(j),sal ha ama
7,Future in the past,"was going to (would, should) love",est-is am-ont-a(j),sal-ed ama
8,Conditional,would (should) love,am-us,vud ama
9,Conditional perfect,would (should) have loved,est-us am-int-a(j),vud ha ama
10,First imperative,let us love!,ni am-u!,let nus ama!
11,Second imperative,love!,am-u!,ama!
12,Third imperative,let him love!,li am-u!,let lo ama!
13,Present continuous,"is (am, are) loving",est-as am-ant-a(j),es ama-nt
14,Future continuous,shall (will) be loving,est-os am-ant-a(j),sal es ama-nt
15,Past continuous,was (were) loving,est-is am-ant-a(j),did es (es-ed) ama-nt
