,Name,Operating system(s),Source code language(s),Programming (plugin) API language(s),Other technical features
0,Bidule,"Mac OS X, Windows",C++,C++,ASIO/ CoreAudio (Mac)/ ReWire support. Possible to write custom modules via API if NDA accepted.
1,ChucK,"Mac OS X, Linux, Windows",C++,,"Unified timing mechanism (no separation between audio-rate and control-rate), command-line access"
2,Csound,"Mac OS X, Linux, Windows","C, C++","C; also Python, Java, Lisp, Lua, Tcl, C++","IDE (QuteCsound), multitrack interface (blue); several analysis/resynthesis facilities; can compute double-precision audio; Python and LuaJIT algorithmic composition library; multi-threaded processing"
3,Impromptu,Mac OS X,"Lisp, Objective-C, Scheme","C, C++, Objective-C, Scheme","Native access to most OS X APIs including Core Image, Quartz, QuickTime and OpenGL. Impromptu also includes its own statically typed (inferencing) systems language for heavy numeric processing - OpenGL, RT AudioDSP etc.."
4,Kyma,"Mac OS X, Windows","Smalltalk, C, Objective-C",Smalltalk,"The Kyma hardware processes user algorithms at sample-rate, as opposed to a vector of samples[1] Kyma has a Frequency resolution of .0026 Hz, and large multi-dimensional arrays can be transferred through spectral algorithms at the speed of a single Frame."
5,Max/MSP,"Mac OS X, Windows","C, Objective-C","C, Java, JavaScript, also Python and Ruby via externals",
6,Pure Data,"Mac OS X, Linux, Windows, iPod, Android",C,"C, C++, FAUST, Haskell, Java, Lua, Python, Q, Ruby, Scheme, others",
7,Reaktor,"Mac OS X, Windows",,,
8,SuperCollider,"Mac OS X, Linux, Windows, FreeBSD","C, C++, Objective-C",C++,"Client-server architecture; client and server can be used independently, command-line access"
9,Sporth,"Linux, Mac OS X",C,"C, Scheme","Many frontends built using the API exist, including Chuck, PD, and LADSPA"
10,VCV Rack,"Mac OS X, Linux, Windows",C++,C++,
