,Name,Unicode Support,Single parent family,Same sex marriage,Witness to events,Name variants,Conflicting evidence,Source surety,Adoption & foster parent,non-standard calendarin date fields
0,Agelong Tree,Yes,Yes,No,Yes,Yes,?,Yes,Yes,Yes
1,Ahnenblatt,Yes,Yes,Yes,Partialchristening and marriage only,Yes,?,Yes,Yes,Yes
2,Ancestral Quest,Yes,Yes,No,?,Yes,Yes,Yes,Yes,?
3,Brother's Keeper,No,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes
4,Family Historian,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Family Tree Builder,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes
6,Family Tree Maker,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
7,GEDitCOM II,Yes,?,Yes,?,?,?,?,?,?
8,Genbox Family History,Yes,?,?,?,?,?,?,?,?
9,GenealogyJ,Yes,?,PartialOne partner's gender mislabelled,No,Yes,Yes,?,Yes,?
10,GenEarth,Yes,Yes,No,No,No,?,?,Yes,Yes
11,Genney,Yes,Yes,Yes,?,Yes,?,Yes,Yes,Yes
12,GenoPro,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
13,Gramps,Yes,Yes,PartialOne partner's gender mislabelled[1],Yes,Yes,?,Yes,Yes,Yes
14,Heredis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
15,Legacy Family Tree[b],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
16,LifeLines,Yes,?,No,?,?,?,?,?,?
17,MacFamilyTree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18,Personal Ancestral File,Yes,?,No,?,?,?,?,?,?
19,Reunion,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes
20,RootsMagic,Yes,?,Yes,Yes(paid version),Yes,Yes,Yes,Yes,Yes
21,The Master Genealogist,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
