,Launch system,Launch system.1,Country of origin,Class and type,Payload capacity,Payload capacity.1,Payload capacity.2,Maiden flight,Manufacturer,Status,Ref
0,Launch system,Launch system,Country of origin,Class and type,LEO (Orbit),GTO,Other,Maiden flight,Manufacturer,Status,Ref
1,Al-Abid,Al-Abid,Iraq,Small lift expendable launch vehicle,100 kg (220 lb) to 300 kg (660 lb) (200 km (120 mi) to 500 km (310 mi),,,1989,"Space Research Center, Baghdad",Abandoned,[100]
2,Augmented Satellite Launch Vehicle,Augmented Satellite Launch Vehicle,India,Small lift expendable launch vehicle,150 kg (330 lb) (400 km (250 mi)),,,1987,ISRO,Retired,[101]
3,Epsilon,Epsilon,Japan,Medium lift expendable launch vehicle,"1,500 kg (3,300 lb) (250 km (160 mi)x500 km (310 mi))700 kg (1,500 lb) (500 km (310 mi))",,"590 kg (1,300 lb) to 500 km (310 mi) (SSO)",2013,JAXA,In service,[102]
4,Feng Bao 1,Feng Bao 1,China,Medium lift expendable launch vehicle,"2,500 kg (5,500 lb)",,,1972,Shanghai Bureau №2,Retired,[103]
5,Geosynchronous Satellite Launch Vehicle,GSLV Mk I,India,Medium lift expendable launch vehicle,"5,000 kg (11,000 lb)","2,150 kg (4,740 lb)",,2001,ISRO,Retired,[104]
6,Geosynchronous Satellite Launch Vehicle,GSLV Mk II,India,Medium lift expendable launch vehicle,"5,000 kg (11,000 lb)","2,700 kg (6,000 lb)",,2010,ISRO,In service,[104]
7,Geosynchronous Satellite Launch Vehicle Mark III,Geosynchronous Satellite Launch Vehicle Mark III,India,Medium lift expendable launch vehicle,"10,000 kg (22,000 lb)","4,000 kg (8,800 lb)",,2014 (Orbital)2017 (Suborbital),ISRO,In service,[105]
8,GX,GX,Japan United States,Medium lift expendable launch vehicle,"3,600 kg (7,900 lb)",,"1,814 kg (3,999 lb) to 800 km (500 mi) SSO",,JAXA/ULA/IHI,Cancelled,[106]
9,H-I,H-I,Japan,Medium lift expendable launch vehicle,"3,200 kg (7,100 lb)","1,100 kg (2,400 lb)",,1986,Mitsubishi Heavy Industries,Retired,[107]
10,H-II,H-II,Japan,Medium lift expendable launch vehicle,"10,060 kg (22,180 lb)","3,930 kg (8,660 lb)",,1994,Mitsubishi Heavy Industries,Retired,[108]
11,H-II,H-IIA,Japan,Medium lift expendable launch vehicle,"10,000 kg (22,000 lb) to 15,000 kg (33,000 lb)","4,100 kg (9,000 lb) to 6,000 kg (13,000 lb)",,2001,Mitsubishi Heavy Industries/ATK,In service,[109]
12,H-II,H-IIB,Japan,Medium lift expendable launch vehicle,"16,500 kg (36,400 lb)","8,000 kg (18,000 lb)",,2009,Mitsubishi Heavy Industries,In service,[110]
13,H3,H3,Japan,Medium lift expendable launch vehicle,,">8,000 kg (18,000 lb)",">4,000 kg (8,800 lb) to SSO (Minimum configuration)",2020 (Planned),Mitsubishi Heavy Industries,Under development,[111]
14,J-I,J-I,Japan,Experimental expendable launch vehicle,-,-,"1,054 kg (2,324 lb) along 1,300 km (810 mi) downrange.",1996,NASDA/ISAS,Retired,[112]
15,Jielong-1,Jielong-1,China,Small lift expendable launch vehicle,,,150 kg (330 lb) to 700 km (430 mi) (SSO),2019,CALT,In service,[113]
16,Kaituozhe,Kaituozhe-1,China,Small lift expendable launch vehicle,100 kg (220 lb),Not applicable,,2002,CASC,Retired,[114]
17,Kaituozhe,Kaituozhe-2,China,Small lift expendable launch vehicle,"800 kg (1,800 lb)",,,2017,CASC,In service,[115]
18,Kaituozhe,Kaituozhe-2A,China,Medium lift expendable launch vehicle,"2,000 km (1,200 mi)",,,Unconfirmed,CASC,Unknown,[115]
19,Kuaizhou,Kuaizhou 1,China,Small lift expendable launch vehicle,,,430 kg (950 lb) to 500 km (310 mi) (SSO),2013,CASC,In service,[116][117]
20,Kuaizhou,Kuaizhou-1A,China,Small lift expendable launch vehicle,300 kg (660 lb),,250 kg (550 lb) to 500 km (310 mi) (SSO)200 kg (440 lb) to 700 km (430 mi) (SSO),2017,CASC,In service,[116][117]
21,Kuaizhou,Kuaizhou-11,China,Small lift expendable launch vehicle,"1,500 kg (3,300 lb)",,"1,000 kg (2,200 lb) to 700 km (430 mi) (SSO)",2019-20 (Planned),CASC,Under development,[118]
22,Kuaizhou,Kuaizhou-21,China,Heavy lift expendable launch vehicle,"20,000 kg (44,000 lb)",,,2025 (Projected),CASC,Under development,[116][119]
23,Kuaizhou,Kuaizhou-31,China,Super heavy lift expendable launch vehicle,"70,000 kg (150,000 lb)",,,TBD,CASC,Under development,[116][119]
24,Lambda (rocket family),Lambda (rocket family),Japan,Small lift expendable launch vehicle,26 kg (57 lb),,,1970,ISAS/Nissan,Retired,[120]
25,Long March 1 rocket family,Long March 1,China,Small lift expendable launch vehicle,300 kg (660 lb),,,1970,MAI/CASC/CAST,Retired,[121]
26,Long March 1 rocket family,Long March 1D,China,Small lift expendable launch vehicle,"930 kg (2,050 lb)",,,1995,CALT,Retired,[122]
27,Long March 2,Long March 2A,China,Medium lift expendable launch vehicle,"2,000 kg (4,400 lb)",,,1974,CALT,Retired,[123]
28,Long March 2,Long March 2C,China,Medium lift expendable launch vehicle,"3,850 kg (8,490 lb)","1,250 kg (2,760 lb)","1,900 kg (4,200 lb) to SSO",1982,CALT,In service,[123]
29,Long March 2,Long March 2D,China,Medium lift expendable launch vehicle,"3,500 kg (7,700 lb)",,"1,300 kg (2,900 lb) to SSO",1992,CALT,In service,[123]
30,Long March 2,Long March 2E,China,Medium lift expendable launch vehicle,"9,500 kg (20,900 lb)","3,500 kg (7,700 lb)",,1990,CALT,In service,[123]
31,Long March 2,Long March 2F,China,Medium lift expendable launch vehicle,"8,400 kg (18,500 lb)",,,1990,CALT,In service,[123]
32,Long March 3,Long March 3,China,Medium lift expendable launch vehicle,"5,000 kg (11,000 lb)","1,500 kg (3,300 lb)",,1984,CALT,Retired,[124]
33,Long March 3,Long March 3A,China,Medium lift expendable launch vehicle,"8,500 kg (18,700 lb)","2,600 kg (5,700 lb)","1,600 kg (3,500 lb) to HCO",1993,CALT,In service,[124]
34,Long March 3,"Long March 3B, 3B/E",China,Medium lift expendable launch vehicle,"11,500 kg (25,400 lb)","5,100 kg (11,200 lb)","3,300 kg (7,300 lb) to HCO2,000 kg (4,400 lb) to GEO",1996,CALT,In service,[124]
35,Long March 3,"Long March 3C, 3C/E",China,Medium lift expendable launch vehicle,,"3,900 kg (8,600 lb)","2,400 kg (5,300 lb) to HCO",2008,CALT,In service,[124]
36,Long March 4,Long March 4A,China,Medium lift expendable launch vehicle,"4,000 kg (8,800 lb)",,"1,500 kg (3,300 lb) to Sun-synchronous orbit",1988,CALT,Retired,[125]
