,Afrikaans,Dutch,English
0,aand,avond,evening
1,aartappelskyfies,(aardappel)chips,potato chips (US) crisps (UK)
2,"afkappingsteken, apostroof","weglatingsteken, afkappingsteken, apostrof",apostrophe
3,amper,bijna amper in some dialects,"nearly, almost"
4,amptelik,"officieel, ambtelijk",official
5,as,als,if
6,asem,adem (asem also used in Belgium),breath
7,asseblief,"alsjeblieft, alstublieft",please
8,"baadjie, jas","jasje, vest",jacket
9,baba,"baby, kindje",baby
10,baie,"heel, zeer, veel","very, much"
11,bakkie,pick-up,pick-up truck
12,beeldpoetser,media-adviseur,media spokesperson press officer
13,bergie,zwerver,vagrant
14,bestuurslisensie,rijbewijs,driving licence (UK) driver's license (US)
15,blokkiesraaisel,kruiswoordraadsel,crossword puzzle
16,bobbejaan,baviaan,baboon
17,bokkie,"schatje, liefje","baby, darling"
18,bolla,zoet broodje,bun
19,botsing,aanrijding,collision
20,braai,barbecue,barbecue
21,Brittanje,Groot-Brittannië,"Britain, Great Britain"
22,bromponie,"bromfiets, scooter","moped, scooter"
23,"daardie, daai",die,"that, those"
24,dagga,marihuana,"marijuana, cannabis"
25,dankie,"dank je/u, bedankt","thank you, thanks"
26,deur,door,"through, door"
27,deurmekaar,doorelkaar (doormekaar also used in Belgium),"mixed up, confused"
28,die,"de, het",the
29,duikweg,tunnel,"tunnel, underpass"
30,dwelms,"drugs bedwelmen means ""intoxicate""",drugs
31,e-pos,e-mail,email
32,eiendoms beperk(Edms.) Bpk.,besloten vennootschap (BV),propriety limited (Pty.) Ltd.
33,eksie-perfeksie,fantastisch,"cool, great"
34,ekskuus,excuus similar pronunciation,"sorry, apology"
35,enigiets,nog iets,anything
36,enigiemand,iedereen,anyone
37,enjin,motor,engine
38,gatvol,zat zijn,fed up
39,geskenk,"cadeau, kado (also used in Afrikaans),geschenk older term","gift, present"
40,glo,geloven,believe
41,gogga,insect,"insect, bug"
42,grasperk,gazon,lawn
43,grondboontjie,"pinda, apennoot",peanut
44,grondboontjiebotter,pindakaas,peanut butter
45,gunsteling,favoriet gunsteling older term,favourite
46,haas,"konijn haas means ""hare""",rabbit
47,Heilsleër,Leger des Heils,Salvation Army
48,"hierdie, dié","dit, deze","this, these"
49,hoender,"kip less common: hoen, hoender",chicken
50,hoekom?,hoezo? waarom?,how come? how so? why?
51,hoezit! (hoe is dit?),hoe gaat het? hoe is het?,how's it going?
52,hoërskool,voortgezet onderwijs (Netherlands) secundair onderwijs (Belgium),"high school, secondary school"
53,Hollands (taal),Nederlands (taal),Dutch (language)
54,horlosie,horloge,watch
