,British English,American English
0,not touch something with a bargepole,not touch something with a ten-foot pole
1,sweep under the carpet,sweep under the rug*
2,touch wood,knock on wood
3,see the wood for the trees,see the forest for the trees
4,put a spanner in the works,throw a (monkey) wrench in(to) (a situation)
5,put (or stick) your oar in[15]but it won't make a ha'porth of difference[16]to put your two penn'orth (or tuppence worth) in,to put your two cents (or two cents' worth) in[17]
6,skeleton in the cupboard,skeleton in the closet
7,a home from home,a home away from home
8,blow one's own trumpet,blow (or toot) one's own horn
9,a drop in the ocean,"a drop in the bucket,[18]"
10,flogging a dead horse,beating a dead horse
11,haven't (got) a clue,don't have a clue or have no clue (the British forms are also acceptable)
12,couldn't care less,could care less or couldn't care less[19]
13,a new lease of life,a new lease on life
14,lie of the land,lay of the land
15,take it with a pinch of salt,take it with a grain of salt
16,a storm in a teacup,a tempest in a teapot (rare)
17,slowcoach,slowpoke[20]
