,Dataset Name,Brief description,Preprocessing,Instances,Format,Default Task,Created (updated),Reference,Creator
0,Web of Science Dataset,Hierarchical Datasets for Text Classification,None.,46985,Text,"Classification, Categorization",2017,[203][204],K. Kowsari et al.
1,Legal Case Reports,Federal Court of Australia cases from 2006 to 2009.,None.,4000,Text,"Summarization, citation analysis",2012,[205][206],F. Galgani et al.
2,Blogger Authorship Corpus,"Blog entries of 19,320 people from blogger.com.","Blogger self-provided gender, age, industry, and astrological sign.",681288,Text,"Sentiment analysis, summarization, classification",2006,[207][208],J. Schler et al.
3,Social Structure of Facebook Networks,Large dataset of the social structure of Facebook.,None.,100 colleges covered,Text,"Network analysis, clustering",2012,[209][210],A. Traud et al.
4,Dataset for the Machine Comprehension of Text,Stories and associated questions for testing comprehension of text.,None.,660,Text,"Natural language processing, machine comprehension",2013,[211][212],M. Richardson et al.
5,The Penn Treebank Project,Naturally occurring text annotated for linguistic structure.,Text is parsed into semantic trees.,~ 1M words,Text,"Natural language processing, summarization",1995,[213][214],M. Marcus et al.
6,DEXTER Dataset,"Task given is to determine, from features given, which articles are about corporate acquisitions.",Features extracted include word stems. Distractor features included.,2600,Text,Classification,2008,[215],Reuters
7,Google Books N-grams,N-grams from a very large corpus of books,None.,2.2 TB of text,Text,"Classification, clustering, regression",2011,[216][217],Google
8,Personae Corpus,Collected for experiments in Authorship Attribution and Personality Prediction. Consists of 145 Dutch-language essays.,"In addition to normal texts, syntactically annotated texts are given.",145,Text,"Classification, regression",2008,[218][219],K. Luyckx et al.
9,CNAE-9 Dataset,Categorization task for free text descriptions of Brazilian companies.,Word frequency has been extracted.,1080,Text,Classification,2012,[220][221],P. Ciarelli et al.
10,Sentiment Labeled Sentences Dataset,3000 sentiment labeled sentences.,Sentiment of each sentence has been hand labeled as positive or negative.,3000,Text,"Classification, sentiment analysis",2015,[222][223],D. Kotzias
11,BlogFeedback Dataset,Dataset to predict the number of comments a post will receive based on features of that post.,Many features of each post extracted.,60021,Text,Regression,2014,[224][225],K. Buza
12,Stanford Natural Language Inference (SNLI) Corpus,"Image captions matched with newly constructed sentences to form entailment, contradiction, or neutral pairs.","Entailment class labels, syntactic parsing by the Stanford PCFG parser",570000,Text,Natural language inference/recognizing textual entailment,2015,[226],S. Bowman et al.
13,DSL Corpus Collection (DSLCC),A multilingual collection of short excerpts of journalistic texts in similar languages and dialects.,None,"294,000 phrases",Text,Discriminating between similar languages,2017,[227],"Tan, Liling et al."
14,Urban Dictionary Dataset,"Corpus of words, votes and definitions",User names anonymised,2606522,CSV,"NLP, Machine comprehension",2016-05,[228],Anonymous
15,T-REx,Wikipedia abstracts aligned with Wikidata entities,Alignment of Wikidata triples with Wikipedia abstracts,11M aligned triples,JSON and NIF [1],"NLP, Relation Extraction",2018,[229],H. Elsahar et al.
