,Unnamed: 0,String representation,String representation.1,Object copy,Value equality,Object comparison,Hash code,Object ID
0,,Human-readable,Source-compatible,Object copy,Value equality,Object comparison,Hash code,Object ID
1,ABAP Objects,,,,,,,
2,C++ (STL),,,,x == y[50],,,pointer to object can be converted into an integer ID
3,C#,x.ToString(),,x.Clone(),x.Equals(y),x.CompareTo(y),x.GetHashCode(),System.Runtime.CompilerServices.RuntimeHelpers.GetHashCode(x)
4,Java,x.toString(),,x.clone()[51],x.equals(y),x.compareTo(y)[52],x.hashCode(),System.identityHashCode(x)
5,JavaScript,x.toString(),,,,,,
6,D,x.toString() or std.conv.to!string(x),x.stringof,,x == y or x.opEquals(y),x.opCmp(y),x.toHash(),
7,eC,"x.OnGetString(tempString, null, null) or PrintString(x)",,y.OnCopy(x),,x.OnCompare(y),,object handle can be converted into an integer ID
8,Objective-C (Cocoa),x.description,x.debugDescription,[x copy][53],[x isEqual:y],[x compare:y][54],x.hash,pointer to object can be converted into an integer ID
9,Swift,x.description[55],x.debugDescription[56],,x == y[57],x < y[58],x.hashValue[59],reflect(x).objectIdentifier!.uintValue()
10,Smalltalk,x displayString,x printString,x copy,x = y,,x hash,x identityHash
11,Python,str(x)[60],repr(x)[61],copy.copy(x)[62],x == y[63],"cmp(x, y)[64]",hash(x)[65],id(x)
12,Visual Basic .NET,x.ToString(),,x.Clone(),x.Equals(y),x.CompareTo(y),x.GetHashCode(),
13,Eiffel,x.out,,x.twin,x.is_equal(y),"When x is COMPARABLE, one can simply do x < y","When x is HASHABLE, one can use x.hash_code","When x is IDENTIFIED, one can use x.object_id"
14,PHP,$x->__toString(),,clone x[66],x == y,,,spl_object_hash(x)
15,Perl,"""$x""[67]","Data::Dumper->Dump([$x],['x'])[68]",Storable::dclone($x)[69],,,,Scalar::Util::refaddr( $x )[70]
16,Raku,~x[67],x.perl,x.clone,x eqv y,x cmp y,,x.WHICH
17,Ruby,x.to_s,x.inspect,x.dup or x.clone,x == y or x.eql?(y),x <=> y,x.hash,x.object_id
18,Windows PowerShell,x.ToString(),,x.Clone(),x.Equals(y),x.CompareTo(y),x.GetHashCode(),
19,OCaml,,,Oo.copy x,x = y,,Hashtbl.hash x,Oo.id x
20,F#,"string x or x.ToString() or sprintf ""%O"" x","sprintf ""%A"" x",x.Clone(),x = y or x.Equals(y),compare x y or x.CompareTo(y),hash x or x.GetHashCode(),
21,COBOL,,,,,,,
