,Research Networking Tool,Thesaurus/Controlled Vocabulary Used,Ontology/Ontologies Supported,Automatic Author Disambiguation
0,Academic Room,unknown,unknown,No
1,Activity Insight,Yes,"Fully customizable data collection screens; campus, college and department-defined ontologies",Yes
2,C-IKNOW,Not applicable,Uses elements of FOAF and Dublin Core in RDF; uses Pellet reasoning engine,No (but can be done in conjunction with software developed at Northwestern University)
3,PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),Yes,"Dublin Core, Social Media and compatible with VIVO and other popular ontologies",Yes
4,Community Academic Profiles - CAP,MeSH,Unknown,Yes (partial)
5,Converis,In some fields,"CASRAI, VIVO",Yes (Author clustering capabilities used to match authors with papers)
6,CurvitaTM Profile Manager,Unknown,Unknown,No
7,CUSP - Columbia University Scientific Profiles,Unknown,Unknown,Yes
8,Digital Vita,Unknown,Unknown,No (but can be done manually by authors)
9,Elsevier's Pure (now integrated with SciVal Experts),"The ""Elsevier Fingerprinting Engine"" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.",Maps to VIVO ontology,Yes
10,Elsevier's SciVal,"The ""Elsevier Fingerprinting Engine"" uses ten thesauri including MeSH to match and identify key concepts for an individual or group of people. Thesauri updates and expansion are ongoing.",Maps to VIVO ontology,Yes
11,Epernicus Solutions & Epernicus Network,Unknown,Unknown,No (can be done manually by authors)
12,ERIM Member Profile System (ERIM MIS),Unknown,Unknown,Yes (uses author ID numbers)
13,Esploro,"ProQuest thesaurus, ERA FOR, PQTD, and more, All thesauri are regularly updated.",Plans to implement the VIVO ontology,Yes
14,EUREKA!TM Enhancing Student Research,Unknown,Unknown,No
15,Expertise @ Maryland,Unknown,Unknown,Yes
16,Faculty Profile System,Unknown,Unknown,No
17,Faculty Research Information Profile (FRIP),,,
18,Faculty Scholarly Productivity Index,Unknown,Unknown,Unknown
19,GENIUS,Unknown,Unknown,No
20,Google,None (Google uses generic keywords),Unknown,"No (but can be done manually through Google Scholar ""My Citations"" functionality)"
21,HUBzero,Unknown,Unknown,No
22,iamResearcher,Unknown,Unknown,No
23,iAMscientist,Unknown,Unknown,No
24,i2iConnect,Unknown,Unknown,No
25,InCites,In some fields,Unknown,No (Though InCites can accept data from ResearcherID and Converis profiling systems for disambiguation)
26,INDURE,Unknown,Unknown,
27,LatticeGrid,MeSH,Uses elements of FOAF and other ontologies,No (but can be done manually by authors)
28,Lattes Database,Unknown,Unknown,Unknown
29,LinkedIn,None,Unknown,No
30,Life Science Network,Unknown,Unknown,No (but can be done manually)
31,Loki,Unknown,Unknown,Yes (uses campus directory for authentication)
32,Lyterati,Yes,Fully customizable ontology that maps to VIVO,Yes (using parsing algorithm on free text)
33,McCormick Collaboration Visualization Tool,None,Unknown,Yes
34,MizzouLinks,Unknown,Unknown,No
35,MyScienceWork,Unknown,Unknown,No
36,ORCID (Open Researcher and Contributor ID),Unknown,Unknown,Yes
37,OSU:pro,Unknown,Unknown,Unknown
38,Pivot,Unknown,Unknown,Yes
39,Profiles,"MeSH, others are being developed to go beyond the life and biomedical sciences",VIVO RDF ontology with additional Profiles RDF classes and properties,"Yes Harvard Profiles uses an XML-based ""disambiguation service"" to import Medline publications and uses configurable heuristics in its disambiguation algorithm"
40,ReachNC,Scopus taxonomy uses MeSH and general keywords,Maps to VIVO ontology,Yes
41,Research Accelerator,Unknown,Unknown,No
42,ResearcherID,Unknown,Unknown,No (although authors can build their publication list and manually disambiguate)
43,SciENcv,No thesaurus used,Unknown,No
44,Symplectic Elements,"MeSH, Fields of Research, ScienceMetrix.","Supports mapping of publication, person and grants data to the VIVO ontology via their open source VIVO Harvester Extension, as well as Harvard Catalyst's Profiles RNS.",Yes
45,VIVO,"VIVO uses several thesauri that are available through Semantic Web, including MeSH",The VIVO Ontology was developed and supported by NIH-funded efforts and continues to be developed and built by its open source community at GitHub and in collaboration with the eagle-i project.,Yes
46,Yaffle,Unknown,Unknown,Unknown
