,Editor,CSS2,Frames,Java,JavaScript,XSLT,XHTML,MathML,XForms,RSS,Atom,XPath
0,Amaya[9],Partial,No,No,No,No,Yes,Yes,No,No,No,?
1,Aptana,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
2,Arachnophilia,Yes,Yes,?,Yes,?,Yes,?,?,?,?,?
3,Bluefish,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,BlueGriffon,Yes(via commercial proprietary add-on)[10],?,?,?,?,Yes,Yes(via commercial proprietary add-on)[11],?,?,?,?
5,Brackets,Yes,Yes,Yes,Yes,?,Yes,?,?,Yes,Yes,?
6,Claris Homepage,Partial,Yes,No,Yes,No,No,No,No,No,No,No
7,Codelobster,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
8,CoffeeCup HTML Editor,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No
9,Dreamweaver,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Yes[2],Yes,?,Yes
10,Freeway,Yes,Yes,Partial,Yes,Yes,Yes,No,No,Yes,No,No
11,GoLive,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
12,HTML-Kit,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
13,KompoZer,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
14,LibreOffice,Yes,Yes,Yes (optional),Yes (and Python),Yes (that's how export works),Yes,Yes,?,?,?,?
15,Maqetta,Yes,?,No,Yes,?,?,?,?,?,?,?
16,Microsoft Expression Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
17,Microsoft FrontPage,Partial,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
18,Microsoft SharePoint Designer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
19,Microsoft Visual Web Developer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
20,Nvu,Yes,No,No,Yes,No,Yes,No,No,No,No,No
21,openElement,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
22,OpenOffice.org,Yes,Yes,?,Yes,Yes,Yes,Yes,?,?,?,?
23,oXygenXML Editor,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
24,Quanta Plus,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,?,Yes
25,RocketCake,Yes,No,Yes,Yes,?,?,?,No,No,No,?
26,SeaMonkey Composer,Yes,Yes,No,Yes,No,Yes,"Yes (rendering, but no tools)",No,No,No,?
27,TOWeb,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No
28,Web Architect,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,?
29,WebStorm IDE,Yes,Yes,No,Yes,Yes,Yes,No,No,?,?,Yes
30,Editor,CSS2,Frames,Java,JavaScript,XSLT,XHTML,MathML,XForms,RSS,Atom,XPath
