,Common Name,Family,Primary Use,Radio Tech,Downstream (Mbit/s),Upstream (Mbit/s),Notes
0,HSPA+,3GPP,Mobile Internet,CDMA/TDMA/FDDMIMO,214284672,5.811.522168,HSPA+ is widely deployed. Revision 11 of the 3GPP states that HSPA+ is expected to have a throughput capacity of 672 Mbit/s.
1,LTE,3GPP,Mobile Internet,OFDMA/TDMA/MIMO/SC-FDMA/[[Frequency division duplex|for LTE-FDD]/for LTE-TDD],100 Cat3150 Cat4300 Cat5 (in 20 MHz FDD) [8],50 Cat3/475 Cat5 (in 20 MHz FDD)[8],LTE-Advanced update expected to offer peak rates up to 1 Gbit/s fixed speeds and 100 Mb/s to mobile users.
2,WiMax rel 1,802.16,WirelessMAN,MIMO-SOFDMA,37 (10 MHz TDD),17 (10 MHz TDD),With 2x2 MIMO.[9]
3,WiMax rel 1.5,802.16-2009,WirelessMAN,MIMO-SOFDMA,83 (20 MHz TDD)141 (2x20 MHz FDD),46 (20 MHz TDD)138 (2x20 MHz FDD),With 2x2 MIMO.Enhanced with 20 MHz channels in 802.16-2009[9]
4,WiMAX rel 2.0,802.16m,WirelessMAN,MIMO-SOFDMA,2x2 MIMO110 (20 MHz TDD)183 (2x20 MHz FDD)4x4 MIMO219 (20 MHz TDD)365 (2x20 MHz FDD),2x2 MIMO70 (20 MHz TDD)188 (2x20 MHz FDD)4x4 MIMO140 (20 MHz TDD)376 (2x20 MHz FDD),"Also, low mobility users can aggregate multiple channels to get a download throughput of up to 1 Gbit/s[9]"
5,Flash-OFDM,Flash-OFDM,Mobile Internetmobility up to 200 mph (350 km/h),Flash-OFDM,5.310.615.9,1.83.65.4,Mobile range 30 km (18 miles)extended range 55 km (34 miles)
6,HIPERMAN,HIPERMAN,Mobile Internet,OFDM,56.9,56.9,
7,Wi-Fi,802.11(11n),Wireless LAN,OFDM/CSMA/MIMO/Half Duplex,288.8 (using 4x4 configuration in 20 MHz bandwidth) or 600 (using 4x4 configuration in 40 MHz bandwidth),288.8 (using 4x4 configuration in 20 MHz bandwidth) or 600 (using 4x4 configuration in 40 MHz bandwidth),"Antenna, RF front end enhancements and minor protocol timer tweaks have helped deploy long range P2P networks compromising on radial coverage, throughput and/or spectra efficiency (310 km & 382 km)"
8,iBurst,802.20,Mobile Internet,HC-SDMA/TDD/MIMO,95,36,"Cell Radius: 3–12 kmSpeed: 250 km/hSpectral Efficiency: 13 bits/s/Hz/cellSpectrum Reuse Factor: ""1"""
9,EDGE Evolution,GSM,Mobile Internet,TDMA/FDD,1.6,0.5,3GPP Release 7
10,UMTS W-CDMAHSPA (HSDPA+HSUPA),UMTS/3GSM,Mobile Internet,CDMA/FDDCDMA/FDD/MIMO,0.38414.4,0.3845.76,"HSDPA is widely deployed. Typical downlink rates today 2 Mbit/s, ~200 kbit/s uplink; HSPA+ downlink up to 56 Mbit/s."
11,UMTS-TDD,UMTS/3GSM,Mobile Internet,CDMA/TDD,16,16,Reported speeds according to IPWireless using 16QAM modulation similar to HSDPA+HSUPA
12,EV-DO Rel. 0EV-DO Rev.AEV-DO Rev.B,CDMA2000,Mobile Internet,CDMA/FDD,2.453.14.9xN,0.151.81.8xN,"Rev B note: N is the number of 1.25 MHz carriers used. EV-DO is not designed for voice, and requires a fallback to 1xRTT when a voice call is placed or received."
